strategy,n_replicates,T100_mean,T100_ci_low,T100_ci_high,T100_median,T100_iqr,T250_mean,T250_ci_low,T250_ci_high,T250_median,T250_iqr,T500_mean,T500_ci_low,T500_ci_high,T500_median,T500_iqr,T1000_mean,T1000_ci_low,T1000_ci_high,T1000_median,T1000_iqr
bafa:bo,18,0.10699607193298995,0.05772031142439347,0.15627183244158643,0.05666818108753745,0.11114708331042908,0.021583690245253848,0.016728313435011334,0.02643906705549636,0.021923685031598986,0.010768583430877237,0.020648145124236728,0.016787912252530377,0.02450837799594308,0.0212809108551263,0.01217676814299515,0.018580878895160777,0.013931195684669793,0.02323056210565176,0.015644617111032377,0.004989267522297539
bafa:disagreement,18,0.09795208306785468,0.05114138399625743,0.14476278213945193,0.0605806174378106,0.1219692446129754,0.02160215893060754,0.016557137282813526,0.026647180578401552,0.024782280127257975,0.01583221781315709,0.01968225455816444,0.01476513477081841,0.024599374345510475,0.020964280867902203,0.0154567346281041,0.018418628473636206,0.014436935703173396,0.022400321244099016,0.019412788720215488,0.007717941495267538
baseline:bo,20,0.043395773996356066,0.02264694529435125,0.06414460269836088,0.024181234572101452,0.0501146973740331,0.0231528649148821,0.013687159723474467,0.03261857010628973,0.0126237455175516,0.029118077546548764,0.04027815462605109,0.031057097166862443,0.04949921208523973,0.0397183108472282,0.022220112771792554,0.011954553126540942,0.0079259259492739,0.015983180303807985,0.010663168205580612,0.011419291918612472
baseline:power,20,0.06461240741931534,0.035423399051962186,0.09380141578666851,0.0395367623175337,0.07055027901758995,0.0648390402182169,0.04471034324242816,0.08496773719400565,0.05287852779630929,0.06380498510808956,0.0329476814094674,0.021822451396130236,0.04407291142280456,0.031996214336277654,0.02926621169778525,0.02481496467139467,0.015189563999975161,0.03444036534281418,0.020672277380107688,0.034114426532549896
baseline:stratified,20,0.05753446367847688,0.037492331088570086,0.07757659626838367,0.04501473506069095,0.06485193460304123,0.043321414839020043,0.028090220992024427,0.05855260868601566,0.035990458493428246,0.03410477300280925,0.03127484238719445,0.023618309799020628,0.03893137497536826,0.031574011834254054,0.01856994184076615,0.025417509449698467,0.017795147969487203,0.03303987092990973,0.024852006124391587,0.01838786054316567
