strategy,n_replicates,T100_mean,T100_ci_low,T100_ci_high,T100_median,T100_iqr,T250_mean,T250_ci_low,T250_ci_high,T250_median,T250_iqr,T500_mean,T500_ci_low,T500_ci_high,T500_median,T500_iqr,T1000_mean,T1000_ci_low,T1000_ci_high,T1000_median,T1000_iqr
bafa:bo,20,0.08572685875023622,0.0656381595077541,0.10581555799271834,0.07715510520290926,0.06992711368326159,0.021463007730555827,0.013036131842599032,0.029889883618512622,0.018401095545829405,0.01993667064650404,0.01434998746799319,0.007079134047554511,0.02162084088843187,0.008459567127988739,0.012818168121590237,0.01232249107505946,0.0073678847797655645,0.017277097370353357,0.0127791247315086,0.008037315267638937
bafa:disagreement,20,0.04584810463638936,0.02800342896271365,0.06369278031006506,0.04027220892796185,0.04847033214184144,0.020271704748183815,0.014570645743785016,0.025972763752582614,0.019308432363578175,0.016867107991573767,0.015681290973215706,0.010330310585284167,0.021032271361147246,0.014218879414548875,0.014201097580478618,0.010302195043922472,0.004450760041294126,0.016153630046550817,0.0066562455789093,0.007807996091690587
baseline:bo,20,0.06703474888675208,0.04482257216916696,0.0892469256043372,0.05395925301271315,0.06466377716485835,0.09636716966958098,0.06212133603189608,0.13061300330726588,0.08831483622492654,0.044275927580582304,0.049376774598320745,0.029199771636564013,0.06955377756007748,0.031148715398168353,0.06140823246570118,0.026370164043033984,0.01960912676375094,0.03313120132231703,0.026514967903811665,0.021345484169325895
baseline:power,20,0.13058722152110736,0.09200660949470973,0.16916783354750498,0.11742189640144166,0.10168058895333465,0.10755242445075888,0.08048681774435378,0.13461803115716398,0.10432173209452467,0.08876171600968341,0.06754387485122872,0.04640163804612784,0.08868611165632959,0.06500271532854215,0.07363810245838759,0.045560163923225594,0.025504894408994325,0.06561543343745686,0.0299131093582771,0.05491047083715829
baseline:stratified,20,0.09454552393854848,0.06672264903141477,0.1223683988456822,0.0928535019615742,0.07857364087708207,0.06439398011679352,0.04616106166002829,0.08262689857355876,0.0642856465130408,0.058155430973088784,0.04771481667725079,0.03439851539762346,0.06103111795687812,0.047898795867005,0.036649567534857555,0.038669822499937605,0.0255219242938376,0.05181772070603761,0.028625295006458773,0.02901713792642965
