source,strategy,T,n,mean,std,ci_low,ci_high
ablation,cerm,20,19,0.06860035580522596,0.03520019692192642,0.05277241694713116,0.08442829466332075
ablation,cerm,21,19,0.06851248963773711,0.034968476156575314,0.05278874514293702,0.0842362341325372
ablation,cerm,22,19,0.06842462347024825,0.034739210163237236,0.05280396953863006,0.08404527740186643
ablation,cerm,23,19,0.0683367573027594,0.034512447863056094,0.05281806813658127,0.08385544646893753
ablation,cerm,24,19,0.06824889113527055,0.034288238929941775,0.05283101860067671,0.08366676366986439
ablation,cerm,25,19,0.0681610249677817,0.03406663377874889,0.052842798261633066,0.08347925167393033
ablation,cerm,26,19,0.06807315880029285,0.0338476835514046,0.05285338412323536,0.08329293347735035
ablation,cerm,27,19,0.06798529263280399,0.03363144010087387,0.05286275286954699,0.083107832396061
ablation,cerm,28,19,0.06789742646531514,0.03341795597284966,0.05287088087314291,0.08292397205748739
ablation,cerm,29,19,0.0674771989165214,0.03243678766805036,0.052891840399873456,0.08206255743316934
ablation,cerm,30,19,0.06705697136772766,0.031525987533788644,0.05288115853825339,0.08123278419720194
ablation,cerm,31,19,0.06663674381893392,0.030691820875903674,0.052836018063198154,0.08043746957466968
ablation,cerm,32,19,0.06621651627014018,0.029940693551019547,0.05275353855028272,0.07967949398999763
ablation,cerm,33,19,0.06596852521449788,0.029229601942265572,0.05282529327705254,0.07911175715194321
ablation,cerm,34,19,0.06572053415885556,0.028635797192535523,0.052844309400183115,0.07859675891752801
ablation,cerm,35,19,0.06547254310321327,0.02816669813382914,0.0528072510059706,0.07813783520045593
ablation,cerm,36,19,0.06522455204757097,0.02782861186681759,0.05271128207608201,0.07773782201905993
ablation,cerm,37,19,0.06560856149079444,0.028021858247734954,0.053008397349125345,0.07820872563246353
ablation,cerm,38,19,0.06599257093401792,0.028258698053301303,0.05328591062785344,0.0786992312401824
ablation,cerm,39,19,0.0663765803772414,0.02853804594691954,0.053544309939118455,0.07920885081536433
ablation,cerm,40,19,0.06676058982046487,0.028858667537824047,0.053784150332700606,0.07973702930822914
ablation,cerm,41,19,0.06714459926368835,0.029219204171882583,0.05400604273400415,0.08028315579337254
ablation,cerm,42,19,0.06752860870691182,0.029618198250518105,0.05421064255928168,0.08084657485454197
ablation,cerm,43,19,0.0679126181501353,0.030054118146522944,0.05439863851211773,0.08142659778815287
ablation,cerm,44,19,0.06829662759335878,0.030525381935573852,0.0545707419124382,0.08202251327427935
ablation,cerm,45,19,0.06840233246049274,0.03058126293916421,0.05465131961593388,0.0821533453050516
ablation,cerm,46,19,0.06850803732762671,0.03065781282964826,0.054722603454433756,0.08229347120081967
ablation,cerm,47,19,0.06861374219476069,0.030754877270816716,0.054784662825961075,0.0824428215635603
ablation,cerm,48,19,0.06871944706189465,0.03087226276595317,0.054837584737250554,0.08260130938653873
ablation,cerm,49,19,0.06850777170462503,0.03059960520739078,0.054748511170411115,0.08226703223883895
ablation,cerm,50,19,0.06829609634735542,0.030338988061105028,0.054654023573935326,0.08193816912077552
ablation,cerm,51,19,0.06808442099008581,0.030090724176416023,0.0545539812736127,0.08161486070655892
ablation,cerm,52,19,0.0678727456328162,0.02985512173004826,0.054448245696288006,0.0812972455693444
ablation,cerm,53,19,0.06775179138787943,0.02975058629266758,0.05437429631655229,0.08112928645920657
ablation,cerm,54,19,0.06763083714294266,0.029659062457047494,0.054294496207129755,0.08096717807875556
ablation,cerm,55,19,0.0675098828980059,0.02958067099875781,0.05420879106070112,0.08081097473531068
ablation,cerm,56,19,0.06738892865306913,0.02951551655442577,0.054117133826900615,0.08066072347923764
ablation,cerm,57,19,0.06726797440813236,0.029463686939087165,0.05401948501927255,0.08051646379699216
ablation,cerm,58,19,0.06714702016319558,0.02942525256385428,0.0539158129771196,0.08037822734927157
ablation,cerm,59,19,0.06702606591825883,0.029400265962756425,0.05380609407826132,0.08024603775825634
ablation,cerm,60,19,0.06690511167332205,0.029388761436085365,0.05369031289940553,0.08011991044723857
ablation,cerm,61,19,0.06667023177688519,0.029223254329484527,0.053529854074239054,0.07981060947953134
ablation,cerm,62,19,0.06643535188044832,0.029073941666916448,0.05336211333895825,0.07950859042193838
ablation,cerm,63,19,0.06620047198401145,0.028941074100380423,0.05318697798667893,0.07921396598134398
ablation,cerm,64,19,0.06596559208757459,0.028824879040562978,0.05300434576108557,0.07892683841406362
ablation,cerm,65,19,0.06591052310628003,0.028443293152226424,0.05312085872074147,0.07870018749181858
ablation,cerm,66,19,0.06585545412498545,0.028104886393232165,0.05321795597597129,0.0784929522739996
ablation,cerm,67,19,0.06580038514369088,0.02781123501756213,0.05329492875654555,0.07830584153083622
ablation,cerm,68,19,0.06574531616239632,0.02756376947045257,0.05335113385584271,0.07813949846894992
ablation,cerm,69,19,0.06600987650050605,0.027738239528318023,0.0535372428882797,0.0784825101127324
ablation,cerm,70,19,0.06627443683861578,0.027988271340473964,0.05368937521230302,0.07885949846492854
ablation,cerm,71,19,0.06653899717672551,0.028311863042074937,0.05380843097612622,0.0792695633773248
ablation,cerm,72,19,0.06680355751483524,0.028706527149517443,0.05389552868878701,0.07971158634088348
ablation,cerm,73,19,0.06706811785294498,0.02916937895887254,0.053951965471364376,0.08018427023452558
ablation,cerm,74,19,0.0673326781910547,0.029697230384232984,0.05397917486211168,0.08068618151999774
ablation,cerm,75,19,0.06759723852916444,0.030286683079031065,0.05397868494400561,0.08121579211432327
ablation,cerm,76,19,0.06786179886727417,0.03093421579986606,0.05395207906117844,0.0817715186733699
ablation,cerm,77,19,0.06779858032328194,0.030955118355126175,0.05387946158207886,0.08171769906448502
ablation,cerm,78,19,0.06773536177928971,0.03102072876640583,0.05378674099920622,0.0816839825593732
ablation,cerm,79,19,0.06767214323529748,0.031130764359550017,0.053674044418362,0.08167024205223296
ablation,cerm,80,19,0.06760892469130525,0.03128475637770901,0.05354158261833171,0.08167626676427879
ablation,cerm,81,19,0.06742384160808504,0.03128669382156338,0.05335562835410827,0.0814920548620618
ablation,cerm,82,19,0.06723875852486481,0.03131583813063643,0.05315744039130193,0.0813200766584277
ablation,cerm,83,19,0.0670536754416446,0.0313721134804864,0.0529470528247398,0.08116029805854941
ablation,cerm,84,19,0.06686859235842439,0.031455374254793625,0.05272453113150455,0.08101265358534424
ablation,cerm,85,19,0.06657575270443833,0.03140334641470208,0.052455086047546444,0.08069641936133022
ablation,cerm,86,19,0.06628291305045225,0.03139654302792775,0.052165305569340854,0.08040052053156366
