t_size,delta_auc,abs_error_roc_auc_diff,seed,strategy,true_delta,pos_label
20,-0.5625,0.5889961216531032,9,stratified,0.026496121653103222,professor
36,-0.20138888888888895,0.22788501054199217,9,stratified,0.026496121653103222,professor
52,-0.14027777777777795,0.16677389943088117,9,stratified,0.026496121653103222,professor
68,-0.12345987345987364,0.14995599511297686,9,stratified,0.026496121653103222,professor
84,-0.10246913580246897,0.1289652574555722,9,stratified,0.026496121653103222,professor
100,-0.1090964795008913,0.13559260115399452,9,stratified,0.026496121653103222,professor
116,-0.11962719298245617,0.1461233146355594,9,stratified,0.026496121653103222,professor
132,-0.1422261327076555,0.16872225436075872,9,stratified,0.026496121653103222,professor
148,-0.11907051282051284,0.14556663447361606,9,stratified,0.026496121653103222,professor
164,-0.12525252525252528,0.1517486469056285,9,stratified,0.026496121653103222,professor
180,-0.09611111111111115,0.12260723276421437,9,stratified,0.026496121653103222,professor
196,-0.10662036376322115,0.13311648541632437,9,stratified,0.026496121653103222,professor
212,-0.11291337921772693,0.13940950087083015,9,stratified,0.026496121653103222,professor
228,-0.11440101784238088,0.1408971394954841,9,stratified,0.026496121653103222,professor
244,-0.1108859012473471,0.13738202290045032,9,stratified,0.026496121653103222,professor
260,-0.10176101072840205,0.12825713238150527,9,stratified,0.026496121653103222,professor
276,-0.0917196155099379,0.11821573716304112,9,stratified,0.026496121653103222,professor
292,-0.08974896790387399,0.11624508955697721,9,stratified,0.026496121653103222,professor
308,-0.07959656600308396,0.10609268765618718,9,stratified,0.026496121653103222,professor
324,-0.07347210102628055,0.09996822267938377,9,stratified,0.026496121653103222,professor
340,-0.0469863634490999,0.07348248510220312,9,stratified,0.026496121653103222,professor
356,-0.03949211660617069,0.06598823825927391,9,stratified,0.026496121653103222,professor
372,-0.029524143985952378,0.0560202656390556,9,stratified,0.026496121653103222,professor
388,-0.02574304050320886,0.05223916215631208,9,stratified,0.026496121653103222,professor
404,-0.0087497660490361,0.03524588770213932,9,stratified,0.026496121653103222,professor
420,-0.026567984218791585,0.05306410587189481,9,stratified,0.026496121653103222,professor
436,-0.02943753147557493,0.05593365312867815,9,stratified,0.026496121653103222,professor
452,-0.02649292217954169,0.05298904383264491,9,stratified,0.026496121653103222,professor
468,-0.02025357479572598,0.0467496964488292,9,stratified,0.026496121653103222,professor
484,-0.018098434367409322,0.044594556020512544,9,stratified,0.026496121653103222,professor
500,-0.009660950873753404,0.036157072526856626,9,stratified,0.026496121653103222,professor
516,-0.00601179018502207,0.03250791183812529,9,stratified,0.026496121653103222,professor
532,-0.0037508038942545285,0.03024692554735775,9,stratified,0.026496121653103222,professor
548,-0.0035548793954321978,0.03005100104853542,9,stratified,0.026496121653103222,professor
564,0.0020875941188441827,0.02440852753425904,9,stratified,0.026496121653103222,professor
580,0.002055400971241794,0.024440720681861428,9,stratified,0.026496121653103222,professor
596,0.007339189495984111,0.01915693215711911,9,stratified,0.026496121653103222,professor
612,0.011042712009946887,0.015453409643156335,9,stratified,0.026496121653103222,professor
628,0.013974656745114444,0.012521464907988777,9,stratified,0.026496121653103222,professor
644,0.00632957602151929,0.020166545631583932,9,stratified,0.026496121653103222,professor
660,0.008867783556065545,0.017628338097037677,9,stratified,0.026496121653103222,professor
676,-0.0005047984235737601,0.027000920076676982,9,stratified,0.026496121653103222,professor
692,0.006578338426297514,0.019917783226805708,9,stratified,0.026496121653103222,professor
708,0.007924758460983172,0.01857136319212005,9,stratified,0.026496121653103222,professor
724,0.013402421478747484,0.013093700174355738,9,stratified,0.026496121653103222,professor
740,0.0011453247595231142,0.025350796893580108,9,stratified,0.026496121653103222,professor
756,0.0053814599483203995,0.021114661704782822,9,stratified,0.026496121653103222,professor
772,0.0009029011070509352,0.025593220546052287,9,stratified,0.026496121653103222,professor
788,0.0020751546403985355,0.024420967012704686,9,stratified,0.026496121653103222,professor
804,0.006790660793110415,0.019705460859992807,9,stratified,0.026496121653103222,professor
820,0.008499307413929347,0.017996814239173875,9,stratified,0.026496121653103222,professor
836,0.011596070353708243,0.014900051299394979,9,stratified,0.026496121653103222,professor
852,0.01034729221014108,0.016148829442962143,9,stratified,0.026496121653103222,professor
868,0.010771144278606926,0.015724977374496296,9,stratified,0.026496121653103222,professor
884,0.010904471696609352,0.01559164995649387,9,stratified,0.026496121653103222,professor
900,0.013291675364335842,0.01320444628876738,9,stratified,0.026496121653103222,professor
916,0.017599721687872605,0.008896399965230617,9,stratified,0.026496121653103222,professor
932,0.021979150155203353,0.004516971497899869,9,stratified,0.026496121653103222,professor
948,0.022322319944444113,0.004173801708659108,9,stratified,0.026496121653103222,professor
964,0.02160687091827429,0.004889250734828932,9,stratified,0.026496121653103222,professor
980,0.02205214196178573,0.00444397969131749,9,stratified,0.026496121653103222,professor
996,0.023261082513067466,0.003235039140035756,9,stratified,0.026496121653103222,professor
1012,0.025788798530026358,0.000707323123076864,9,stratified,0.026496121653103222,professor
1028,0.025556749025908987,0.0009393726271942349,9,stratified,0.026496121653103222,professor
1044,0.02648369110797011,1.2430545133113036e-05,9,stratified,0.026496121653103222,professor
1060,0.027409084809447037,0.0009129631563438156,9,stratified,0.026496121653103222,professor
1076,0.02697401133729127,0.00047788968418804867,9,stratified,0.026496121653103222,professor
1092,0.028071629420461375,0.001575507767358153,9,stratified,0.026496121653103222,professor
1108,0.024630236239226666,0.0018658854138765557,9,stratified,0.026496121653103222,professor
1124,0.02557233626434874,0.0009237853887544833,9,stratified,0.026496121653103222,professor
1140,0.02557428459957578,0.0009218370535274412,9,stratified,0.026496121653103222,professor
1156,0.024758971826944087,0.0017371498261591345,9,stratified,0.026496121653103222,professor
1172,0.025158913789508186,0.0013372078635950357,9,stratified,0.026496121653103222,professor
1188,0.02354681097826039,0.002949310674842831,9,stratified,0.026496121653103222,professor
1204,0.025542577975800063,0.0009535436773031591,9,stratified,0.026496121653103222,professor
1220,0.028286408387317996,0.0017902867342147744,9,stratified,0.026496121653103222,professor
1236,0.026529855328899732,3.37336757965101e-05,9,stratified,0.026496121653103222,professor
1252,0.027534107571657307,0.0010379859185540852,9,stratified,0.026496121653103222,professor
1268,0.030549855035100215,0.004053733381996993,9,stratified,0.026496121653103222,professor
1284,0.02715485834507414,0.0006587366919709181,9,stratified,0.026496121653103222,professor
1300,0.024824564339621435,0.0016715573134817863,9,stratified,0.026496121653103222,professor
1316,0.02141334289101804,0.005082778762085183,9,stratified,0.026496121653103222,professor
1332,0.024758936929299646,0.0017371847238035754,9,stratified,0.026496121653103222,professor
1348,0.022731785862873055,0.0037643357902301666,9,stratified,0.026496121653103222,professor
1364,0.02184586445225911,0.00465025720084411,9,stratified,0.026496121653103222,professor
1380,0.02119707002394977,0.005299051629153451,9,stratified,0.026496121653103222,professor
1396,0.020483960975526405,0.006012160677576817,9,stratified,0.026496121653103222,professor
1412,0.020104886711852066,0.006391234941251156,9,stratified,0.026496121653103222,professor
1428,0.017641584388362275,0.008854537264740947,9,stratified,0.026496121653103222,professor
1444,0.017083472779413134,0.009412648873690088,9,stratified,0.026496121653103222,professor
1460,0.015940209214377443,0.010555912438725779,9,stratified,0.026496121653103222,professor
1476,0.01738131718933489,0.009114804463768333,9,stratified,0.026496121653103222,professor
1492,0.019858438395807143,0.006637683257296079,9,stratified,0.026496121653103222,professor
1508,0.019643076767176026,0.006853044885927195,9,stratified,0.026496121653103222,professor
1524,0.020488228995706348,0.006007892657396874,9,stratified,0.026496121653103222,professor
1540,0.021497523521583184,0.004998598131520038,9,stratified,0.026496121653103222,professor
1556,0.02075924497785897,0.005736876675244251,9,stratified,0.026496121653103222,professor
1572,0.019651466712640397,0.006844654940462824,9,stratified,0.026496121653103222,professor
1588,0.01898848122321717,0.007507640429886053,9,stratified,0.026496121653103222,professor
1604,0.021079062558714057,0.005417059094389165,9,stratified,0.026496121653103222,professor
1620,0.022104692898188394,0.004391428754914828,9,stratified,0.026496121653103222,professor
1636,0.023832410331690812,0.0026637113214124097,9,stratified,0.026496121653103222,professor
1652,0.023762549873675987,0.002733571779427235,9,stratified,0.026496121653103222,professor
1668,0.02433155101496165,0.002164570638141572,9,stratified,0.026496121653103222,professor
1684,0.027270983071724042,0.0007748614186208203,9,stratified,0.026496121653103222,professor
1700,0.026039077903373897,0.0004570437497293245,9,stratified,0.026496121653103222,professor
1716,0.029213748694935315,0.0027176270418320936,9,stratified,0.026496121653103222,professor
1732,0.028027910284462387,0.0015317886313591655,9,stratified,0.026496121653103222,professor
1748,0.028449550600928908,0.001953428947825686,9,stratified,0.026496121653103222,professor
1764,0.03174884869250594,0.005252727039402716,9,stratified,0.026496121653103222,professor
1780,0.03087097053821164,0.004374848885108418,9,stratified,0.026496121653103222,professor
1796,0.032043251336608014,0.005547129683504792,9,stratified,0.026496121653103222,professor
1812,0.031978383313710834,0.0054822616606076124,9,stratified,0.026496121653103222,professor
1828,0.031536593183108086,0.005040471530004864,9,stratified,0.026496121653103222,professor
1844,0.03536331471877985,0.008867193065676626,9,stratified,0.026496121653103222,professor
1860,0.039247103373911574,0.012750981720808352,9,stratified,0.026496121653103222,professor
1876,0.038593026270388964,0.012096904617285742,9,stratified,0.026496121653103222,professor
1892,0.03854787904643764,0.012051757393334417,9,stratified,0.026496121653103222,professor
1908,0.03831742208024014,0.011821300427136916,9,stratified,0.026496121653103222,professor
1924,0.035001218984287985,0.008505097331184763,9,stratified,0.026496121653103222,professor
1940,0.03506320011857811,0.008567078465474887,9,stratified,0.026496121653103222,professor
1956,0.03531528734844935,0.008819165695346132,9,stratified,0.026496121653103222,professor
1972,0.03249197454939967,0.00599585289629645,9,stratified,0.026496121653103222,professor
1988,0.033626633528564986,0.007130511875461765,9,stratified,0.026496121653103222,professor
2004,0.033283220563062654,0.0067870989099594325,9,stratified,0.026496121653103222,professor
