t_size,delta_auc,abs_error_roc_auc_diff,seed,strategy,true_delta,pos_label
20,0.0,0.026496121653103222,3,stratified,0.026496121653103222,professor
36,0.10769230769230764,0.08119618603920442,3,stratified,0.026496121653103222,professor
52,0.1578947368421052,0.13139861518900198,3,stratified,0.026496121653103222,professor
68,0.12222222222222223,0.09572610056911901,3,stratified,0.026496121653103222,professor
84,0.11625773651635729,0.08976161486325407,3,stratified,0.026496121653103222,professor
100,0.12476190476190474,0.09826578310880152,3,stratified,0.026496121653103222,professor
116,0.08943713450292401,0.06294101284982079,3,stratified,0.026496121653103222,professor
132,0.12486772486772513,0.0983716032146219,3,stratified,0.026496121653103222,professor
148,0.14971547314578004,0.12321935149267682,3,stratified,0.026496121653103222,professor
164,0.14006734006734012,0.1135712184142369,3,stratified,0.026496121653103222,professor
180,0.126388888888889,0.09989276723578577,3,stratified,0.026496121653103222,professor
196,0.12562358276643992,0.0991274611133367,3,stratified,0.026496121653103222,professor
212,0.1256271806968402,0.09913105904373698,3,stratified,0.026496121653103222,professor
228,0.10507766125840923,0.078581539605306,3,stratified,0.026496121653103222,professor
244,0.11456201500244945,0.08806589334934622,3,stratified,0.026496121653103222,professor
260,0.12407952533753475,0.09758340368443152,3,stratified,0.026496121653103222,professor
276,0.10241450421034537,0.07591838255724215,3,stratified,0.026496121653103222,professor
292,0.09977450894645912,0.0732783872933559,3,stratified,0.026496121653103222,professor
308,0.10152256834075002,0.0750264466876468,3,stratified,0.026496121653103222,professor
324,0.08832606073172111,0.06182993907861789,3,stratified,0.026496121653103222,professor
340,0.09400090380819304,0.06750478215508982,3,stratified,0.026496121653103222,professor
356,0.08926998765607941,0.06277386600297619,3,stratified,0.026496121653103222,professor
372,0.09415886026541764,0.06766273861231442,3,stratified,0.026496121653103222,professor
388,0.0957303779069767,0.06923425625387347,3,stratified,0.026496121653103222,professor
404,0.0860140548230931,0.05951793316998988,3,stratified,0.026496121653103222,professor
420,0.07767675198547208,0.05118063033236886,3,stratified,0.026496121653103222,professor
436,0.08174248359827085,0.05524636194516763,3,stratified,0.026496121653103222,professor
452,0.08152960607644044,0.05503348442333722,3,stratified,0.026496121653103222,professor
468,0.08518199912875857,0.058685877475655346,3,stratified,0.026496121653103222,professor
484,0.08698665416579865,0.06049053251269543,3,stratified,0.026496121653103222,professor
500,0.09507109664158209,0.06857497498847887,3,stratified,0.026496121653103222,professor
516,0.08333761727424982,0.0568414956211466,3,stratified,0.026496121653103222,professor
532,0.08323890970780379,0.056742788054700566,3,stratified,0.026496121653103222,professor
548,0.08191592868646969,0.055419807033366464,3,stratified,0.026496121653103222,professor
564,0.08345513583972186,0.05695901418661864,3,stratified,0.026496121653103222,professor
580,0.0813139451445235,0.05481782349142028,3,stratified,0.026496121653103222,professor
596,0.0892983236548297,0.06280220200172648,3,stratified,0.026496121653103222,professor
612,0.08854773353198786,0.06205161187888464,3,stratified,0.026496121653103222,professor
628,0.08947350819790656,0.06297738654480334,3,stratified,0.026496121653103222,professor
644,0.08511885914895889,0.05862273749585567,3,stratified,0.026496121653103222,professor
660,0.0822146672771672,0.055718545624063975,3,stratified,0.026496121653103222,professor
676,0.08303787094547965,0.05654174929237643,3,stratified,0.026496121653103222,professor
692,0.08888397786424096,0.06238785621113774,3,stratified,0.026496121653103222,professor
708,0.09153255707311925,0.06503643542001603,3,stratified,0.026496121653103222,professor
