t_size,delta_auc,abs_error_roc_auc_diff,seed,strategy,true_delta,pos_label
20,-0.08333333333333326,0.10982945498643648,13,bo,0.026496121653103222,professor
36,-0.08391608391608396,0.11041220556918718,13,bo,0.026496121653103222,professor
52,0.022863247863247782,0.0036328737898554397,13,bo,0.026496121653103222,professor
68,0.008954831932773022,0.0175412897203302,13,bo,0.026496121653103222,professor
84,-0.04980969111403877,0.07630581276714199,13,bo,0.026496121653103222,professor
100,-0.08677156177156176,0.11326768342466498,13,bo,0.026496121653103222,professor
116,-0.018917624521072707,0.04541374617417593,13,bo,0.026496121653103222,professor
132,0.00487146598257715,0.021624655670526072,13,bo,0.026496121653103222,professor
148,0.019495093119214935,0.007001028533888287,13,bo,0.026496121653103222,professor
164,0.020794097186874305,0.0057020244662289166,13,bo,0.026496121653103222,professor
180,0.023968545751633985,0.0025275759014692367,13,bo,0.026496121653103222,professor
196,0.04052276746242256,0.014026645809319338,13,bo,0.026496121653103222,professor
212,0.05074755811960907,0.02425143646650585,13,bo,0.026496121653103222,professor
228,0.07277956807015196,0.046283446417048735,13,bo,0.026496121653103222,professor
244,0.05833333333333335,0.031837211680230126,13,bo,0.026496121653103222,professor
260,0.05309801823351057,0.026601896580407347,13,bo,0.026496121653103222,professor
276,0.031949150505851454,0.005453028852748232,13,bo,0.026496121653103222,professor
292,0.03130127494456758,0.004805153291464359,13,bo,0.026496121653103222,professor
308,0.03983278560137604,0.01333666394827282,13,bo,0.026496121653103222,professor
324,0.038753447163058174,0.012257325509954953,13,bo,0.026496121653103222,professor
340,0.049326048932864186,0.022829927279760964,13,bo,0.026496121653103222,professor
356,0.06327274214490897,0.036776620491805745,13,bo,0.026496121653103222,professor
372,0.059223447042031974,0.03272732538892875,13,bo,0.026496121653103222,professor
388,0.07106657568130459,0.04457045402820137,13,bo,0.026496121653103222,professor
404,0.06050868784632135,0.03401256619321813,13,bo,0.026496121653103222,professor
420,0.06383325289575292,0.0373371312426497,13,bo,0.026496121653103222,professor
436,0.06634938567893578,0.03985326402583256,13,bo,0.026496121653103222,professor
452,0.067686071839553,0.041189950186449775,13,bo,0.026496121653103222,professor
468,0.07601317839759769,0.04951705674449447,13,bo,0.026496121653103222,professor
484,0.0803325526839147,0.05383643103081148,13,bo,0.026496121653103222,professor
500,0.08074187101072394,0.05424574935762072,13,bo,0.026496121653103222,professor
516,0.08414777215917979,0.05765165050607657,13,bo,0.026496121653103222,professor
532,0.0827015338620225,0.05620541220891928,13,bo,0.026496121653103222,professor
548,0.0899316127460722,0.06343549109296898,13,bo,0.026496121653103222,professor
564,0.08307254636109374,0.056576424707990514,13,bo,0.026496121653103222,professor
580,0.09031831113049393,0.06382218947739071,13,bo,0.026496121653103222,professor
596,0.08790581217543847,0.06140969052233525,13,bo,0.026496121653103222,professor
612,0.09522148816152665,0.06872536650842342,13,bo,0.026496121653103222,professor
628,0.08277280021938571,0.05627667856628249,13,bo,0.026496121653103222,professor
644,0.08202269121466588,0.055526569561562655,13,bo,0.026496121653103222,professor
660,0.07993307262587579,0.05343695097277257,13,bo,0.026496121653103222,professor
676,0.07063514853328823,0.044139026880185006,13,bo,0.026496121653103222,professor
692,0.07033040998228224,0.043834288329179016,13,bo,0.026496121653103222,professor
708,0.07339794986738557,0.04690182821428235,13,bo,0.026496121653103222,professor
724,0.07192150305740319,0.04542538140429997,13,bo,0.026496121653103222,professor
740,0.06785798060211157,0.041361858949008345,13,bo,0.026496121653103222,professor
756,0.06169630642954882,0.0352001847764456,13,bo,0.026496121653103222,professor
772,0.06756398532563723,0.04106786367253401,13,bo,0.026496121653103222,professor
788,0.06688599233673087,0.04038987068362765,13,bo,0.026496121653103222,professor
804,0.06026588257859866,0.03376976092549544,13,bo,0.026496121653103222,professor
820,0.05941412617149078,0.032918004518387556,13,bo,0.026496121653103222,professor
836,0.05884776406176706,0.03235164240866384,13,bo,0.026496121653103222,professor
852,0.061410075174168854,0.03491395352106563,13,bo,0.026496121653103222,professor
868,0.05629032289807523,0.029794201244972007,13,bo,0.026496121653103222,professor
884,0.04653198220831445,0.020035860555211227,13,bo,0.026496121653103222,professor
900,0.046174603343426046,0.019678481690322824,13,bo,0.026496121653103222,professor
916,0.04125099588385739,0.014754874230754167,13,bo,0.026496121653103222,professor
932,0.03926384670554817,0.012767725052444945,13,bo,0.026496121653103222,professor
948,0.03761297322778878,0.01111685157468556,13,bo,0.026496121653103222,professor
964,0.03888925175432589,0.012393130101222671,13,bo,0.026496121653103222,professor
980,0.04136230385062534,0.014866182197522115,13,bo,0.026496121653103222,professor
996,0.04227664727570879,0.015780525622605568,13,bo,0.026496121653103222,professor
1012,0.03633276674999397,0.00983664509689075,13,bo,0.026496121653103222,professor
1028,0.03696561060536452,0.010469488952261297,13,bo,0.026496121653103222,professor
1044,0.037671517673813826,0.011175396020710604,13,bo,0.026496121653103222,professor
1060,0.03488302978664082,0.008386908133537596,13,bo,0.026496121653103222,professor
1076,0.033402054046047236,0.006905932392944014,13,bo,0.026496121653103222,professor
1092,0.033304905620380354,0.006808783967277132,13,bo,0.026496121653103222,professor
1108,0.0330203730326154,0.00652425137951218,13,bo,0.026496121653103222,professor
1124,0.030899368445898356,0.004403246792795135,13,bo,0.026496121653103222,professor
1140,0.028789790484559208,0.002293668831455986,13,bo,0.026496121653103222,professor
1156,0.03209994038485786,0.0056038187317546395,13,bo,0.026496121653103222,professor
1172,0.02684016496054209,0.00034404330743886824,13,bo,0.026496121653103222,professor
1188,0.02126721843471646,0.00522890321838676,13,bo,0.026496121653103222,professor
1204,0.019815486782050917,0.0066806348710523045,13,bo,0.026496121653103222,professor
1220,0.015949429006353766,0.010546692646749456,13,bo,0.026496121653103222,professor
1236,0.01677030049175865,0.009725821161344572,13,bo,0.026496121653103222,professor
1252,0.017495579994908805,0.009000541658194416,13,bo,0.026496121653103222,professor
1268,0.02085652275805805,0.0056395988950451725,13,bo,0.026496121653103222,professor
1284,0.019897233192755936,0.006598888460347285,13,bo,0.026496121653103222,professor
1300,0.015130025484250798,0.011366096168852424,13,bo,0.026496121653103222,professor
1316,0.016583951235045302,0.00991217041805792,13,bo,0.026496121653103222,professor
1332,0.014840929215760745,0.011655192437342476,13,bo,0.026496121653103222,professor
1348,0.013585574731684757,0.012910546921418464,13,bo,0.026496121653103222,professor
1364,0.014017652391805413,0.012478469261297809,13,bo,0.026496121653103222,professor
1380,0.015973715976040248,0.010522405677062974,13,bo,0.026496121653103222,professor
1396,0.012738513000839058,0.013757608652264164,13,bo,0.026496121653103222,professor
1412,0.01495204464928912,0.011544077003814102,13,bo,0.026496121653103222,professor
1428,0.01716674146410302,0.009329380189000203,13,bo,0.026496121653103222,professor
1444,0.020119402482600357,0.006376719170502865,13,bo,0.026496121653103222,professor
1460,0.02041613392303876,0.006079987730064462,13,bo,0.026496121653103222,professor
1476,0.021101380453475205,0.005394741199628017,13,bo,0.026496121653103222,professor
1492,0.020557655394919605,0.005938466258183617,13,bo,0.026496121653103222,professor
1508,0.020013247830829584,0.006482873822273638,13,bo,0.026496121653103222,professor
1524,0.021783663446861112,0.004712458206242109,13,bo,0.026496121653103222,professor
1540,0.021100051362417327,0.005396070290685895,13,bo,0.026496121653103222,professor
1556,0.025032245771647976,0.0014638758814552455,13,bo,0.026496121653103222,professor
1572,0.023500656660400132,0.0029954649927030896,13,bo,0.026496121653103222,professor
1588,0.027789925805488225,0.001293804152385003,13,bo,0.026496121653103222,professor
1604,0.026615107974979124,0.00011898632187590241,13,bo,0.026496121653103222,professor
1620,0.027755417897869172,0.0012592962447659506,13,bo,0.026496121653103222,professor
1636,0.02855892422616846,0.0020628025730652366,13,bo,0.026496121653103222,professor
1652,0.0287759659134047,0.002279844260301478,13,bo,0.026496121653103222,professor
1668,0.031433125582061794,0.004937003928958572,13,bo,0.026496121653103222,professor
1684,0.03270645331851296,0.006210331665409741,13,bo,0.026496121653103222,professor
1700,0.030335598548230536,0.003839476895127314,13,bo,0.026496121653103222,professor
1716,0.035367080253192684,0.008870958600089462,13,bo,0.026496121653103222,professor
1732,0.03326373087346912,0.0067676092203659,13,bo,0.026496121653103222,professor
1748,0.03280740008982741,0.006311278436724188,13,bo,0.026496121653103222,professor
