t_size,delta_auc,abs_error_roc_auc_diff,seed,strategy,true_delta,pos_label
20,0.0,0.026496121653103222,2,bo,0.026496121653103222,professor
36,0.0992063492063493,0.07271022755324608,2,bo,0.026496121653103222,professor
52,0.07508116883116878,0.048585047178065555,2,bo,0.026496121653103222,professor
68,-0.004329004329004182,0.030825125982107404,2,bo,0.026496121653103222,professor
84,0.011217948717948678,0.015278172935154544,2,bo,0.026496121653103222,professor
100,0.008591554644186372,0.01790456700891685,2,bo,0.026496121653103222,professor
116,0.011772613351560657,0.014723508301542565,2,bo,0.026496121653103222,professor
132,-0.037638188991757526,0.06413431064486075,2,bo,0.026496121653103222,professor
148,-0.030021102699805624,0.056517224352908846,2,bo,0.026496121653103222,professor
164,0.0032363731656184225,0.0232597484874848,2,bo,0.026496121653103222,professor
180,0.009133057611759421,0.0173630640413438,2,bo,0.026496121653103222,professor
196,0.023960214695230908,0.0025359069578723137,2,bo,0.026496121653103222,professor
212,0.017860429745020667,0.008635691908082554,2,bo,0.026496121653103222,professor
228,0.02177361420924062,0.0047225074438626,2,bo,0.026496121653103222,professor
244,0.014353505805636102,0.01214261584746712,2,bo,0.026496121653103222,professor
260,0.021625816993463998,0.004870304659639224,2,bo,0.026496121653103222,professor
276,0.028305680669179156,0.0018095590160759345,2,bo,0.026496121653103222,professor
292,0.02561023984586408,0.0008858818072391417,2,bo,0.026496121653103222,professor
308,0.021650121862032634,0.004845999791070588,2,bo,0.026496121653103222,professor
324,0.027103785943955683,0.000607664290852461,2,bo,0.026496121653103222,professor
340,0.0340807552032375,0.007584633550134279,2,bo,0.026496121653103222,professor
356,0.04427065374123118,0.01777453208812796,2,bo,0.026496121653103222,professor
372,0.053968537482469325,0.027472415829366104,2,bo,0.026496121653103222,professor
388,0.055055598522725235,0.028559476869622014,2,bo,0.026496121653103222,professor
404,0.052045454052753404,0.025549332399650182,2,bo,0.026496121653103222,professor
420,0.07378360493678482,0.0472874832836816,2,bo,0.026496121653103222,professor
436,0.07889175246382174,0.05239563081071852,2,bo,0.026496121653103222,professor
452,0.08064284611806471,0.05414672446496149,2,bo,0.026496121653103222,professor
468,0.08422685498385052,0.0577307333307473,2,bo,0.026496121653103222,professor
484,0.07899362753226968,0.05249750587916646,2,bo,0.026496121653103222,professor
500,0.06867036244377067,0.04217424079066745,2,bo,0.026496121653103222,professor
516,0.0657296578307428,0.03923353617763958,2,bo,0.026496121653103222,professor
532,0.06896038393304171,0.04246426227993849,2,bo,0.026496121653103222,professor
548,0.0742861512770675,0.04779002962396428,2,bo,0.026496121653103222,professor
564,0.07172565033272826,0.04522952867962504,2,bo,0.026496121653103222,professor
580,0.07308660943333567,0.04659048778023245,2,bo,0.026496121653103222,professor
596,0.0789455399967921,0.05244941834368888,2,bo,0.026496121653103222,professor
612,0.07369298132580471,0.047196859672701486,2,bo,0.026496121653103222,professor
628,0.06388464622426393,0.03738852457116071,2,bo,0.026496121653103222,professor
644,0.0591170031071383,0.03262088145403508,2,bo,0.026496121653103222,professor
660,0.05370956520893033,0.02721344355582711,2,bo,0.026496121653103222,professor
676,0.05052753299097057,0.024031411337867348,2,bo,0.026496121653103222,professor
692,0.05097721305913505,0.02448109140603183,2,bo,0.026496121653103222,professor
708,0.054191824375214526,0.027695702722111304,2,bo,0.026496121653103222,professor
724,0.05128836559795835,0.02479224394485513,2,bo,0.026496121653103222,professor
740,0.05224141082708689,0.025745289173983665,2,bo,0.026496121653103222,professor
756,0.055819181143573426,0.029323059490470205,2,bo,0.026496121653103222,professor
772,0.05612463019920644,0.029628508546103216,2,bo,0.026496121653103222,professor
788,0.056533723347451215,0.030037601694347993,2,bo,0.026496121653103222,professor
804,0.05372460718394745,0.027228485530844226,2,bo,0.026496121653103222,professor
820,0.04825454937372653,0.021758427720623308,2,bo,0.026496121653103222,professor
836,0.04041678872505938,0.013920667071956161,2,bo,0.026496121653103222,professor
852,0.0351832697971769,0.008687148144073675,2,bo,0.026496121653103222,professor
868,0.034808487632552065,0.008312365979448844,2,bo,0.026496121653103222,professor
884,0.03292065238993813,0.00642453073683491,2,bo,0.026496121653103222,professor
