strategy,epsilon,mean_crossing_T,error_at_crossing_T_mean,error_at_crossing_T_std,error_at_crossing_T_median,n_at_crossing_T,queries_to_0.02_mean,queries_to_0.02_std,queries_to_0.02_median,queries_to_0.02_n_reached,queries_to_0.05_mean,queries_to_0.05_std,queries_to_0.05_median,queries_to_0.05_n_reached,auec_mean,auec_std,error_at_250_mean,error_at_250_std
bo,0.02,820.0,0.01949008426505897,0.016088926558011495,0.0102019418965444,15,110.66666666666667,103.6369732393909,68.0,15.0,,,,,0.022415893352591955,0.006107337693184023,0.025466975706195643,0.02005068964175592
bo,0.05,4.0,0.0264961216531032,0.0,0.0264961216531032,2,,,,,59.46666666666667,44.443022199465936,52.0,15.0,0.022415893352591955,0.006107337693184023,0.025466975706195643,0.02005068964175592
