t_size,delta_auc,abs_error_roc_auc_diff,seed,strategy,true_delta,pos_label
20,0.16666666666666674,0.14017054501356352,11,stratified,0.026496121653103222,professor
36,0.2142857142857143,0.18778959263261108,11,stratified,0.026496121653103222,professor
52,0.14166666666666672,0.1151705450135635,11,stratified,0.026496121653103222,professor
68,0.06777777777777783,0.041281656124674604,11,stratified,0.026496121653103222,professor
84,0.1733560090702948,0.14685988741719158,11,stratified,0.026496121653103222,professor
100,0.15521416900093365,0.12871804734783043,11,stratified,0.026496121653103222,professor
116,0.13622689929630394,0.10973077764320072,11,stratified,0.026496121653103222,professor
132,0.09879899216125398,0.07230287050815076,11,stratified,0.026496121653103222,professor
148,0.044792013542013676,0.018295891888910454,11,stratified,0.026496121653103222,professor
164,0.04053030303030314,0.014034181377199917,11,stratified,0.026496121653103222,professor
180,0.06275495337995352,0.036258831726850294,11,stratified,0.026496121653103222,professor
196,0.04389937508649777,0.01740325343339455,11,stratified,0.026496121653103222,professor
212,0.05203636556250568,0.02554024390940246,11,stratified,0.026496121653103222,professor
228,0.048310485810485915,0.021814364157382693,11,stratified,0.026496121653103222,professor
244,0.05564839572192504,0.029152274068821815,11,stratified,0.026496121653103222,professor
260,0.06544971897198626,0.03895359731888304,11,stratified,0.026496121653103222,professor
276,0.04978352789335794,0.023287406240254716,11,stratified,0.026496121653103222,professor
292,0.055526530366911575,0.029030408713808353,11,stratified,0.026496121653103222,professor
308,0.07580708759940646,0.04931096594630324,11,stratified,0.026496121653103222,professor
324,0.053946857868426346,0.027450736215323124,11,stratified,0.026496121653103222,professor
340,0.058113892920496735,0.03161777126739351,11,stratified,0.026496121653103222,professor
356,0.06694604435617335,0.04044992270307013,11,stratified,0.026496121653103222,professor
372,0.07113918846765899,0.044643066814555765,11,stratified,0.026496121653103222,professor
388,0.06064041280657673,0.034144291153473505,11,stratified,0.026496121653103222,professor
404,0.06570469163810455,0.03920856998500133,11,stratified,0.026496121653103222,professor
420,0.0659808703473087,0.039484748694205485,11,stratified,0.026496121653103222,professor
436,0.07133942652051317,0.04484330486740995,11,stratified,0.026496121653103222,professor
452,0.06748225498225491,0.040986133329151686,11,stratified,0.026496121653103222,professor
468,0.06559348420432487,0.03909736255122165,11,stratified,0.026496121653103222,professor
484,0.07045086999355288,0.043954748340449656,11,stratified,0.026496121653103222,professor
500,0.0659687217608308,0.03947260010772757,11,stratified,0.026496121653103222,professor
516,0.06663105413105419,0.04013493247795097,11,stratified,0.026496121653103222,professor
532,0.06893263669138572,0.042436515038282496,11,stratified,0.026496121653103222,professor
548,0.07815675813008116,0.05166063647697794,11,stratified,0.026496121653103222,professor
564,0.08093024566960494,0.05443412401650172,11,stratified,0.026496121653103222,professor
580,0.0867461045677489,0.06024998291464567,11,stratified,0.026496121653103222,professor
596,0.09178852120551795,0.06529239955241473,11,stratified,0.026496121653103222,professor
612,0.09720140362494423,0.070705281971841,11,stratified,0.026496121653103222,professor
628,0.0966521498812336,0.07015602822813038,11,stratified,0.026496121653103222,professor
644,0.0931133199170946,0.06661719826399137,11,stratified,0.026496121653103222,professor
660,0.08705045613731666,0.060554334484213435,11,stratified,0.026496121653103222,professor
676,0.08583380365150428,0.05933768199840106,11,stratified,0.026496121653103222,professor
692,0.077229043872305,0.05073292221920178,11,stratified,0.026496121653103222,professor
708,0.07765619012195413,0.051160068468850906,11,stratified,0.026496121653103222,professor
724,0.06974494949494947,0.04324882784184625,11,stratified,0.026496121653103222,professor
740,0.06284680860945957,0.03635068695635635,11,stratified,0.026496121653103222,professor
756,0.06036313652345349,0.033867014870350265,11,stratified,0.026496121653103222,professor
772,0.06268833002045338,0.036192208367350154,11,stratified,0.026496121653103222,professor
788,0.05979360197731143,0.033297480324208206,11,stratified,0.026496121653103222,professor
804,0.06440281030444983,0.03790668865134661,11,stratified,0.026496121653103222,professor
820,0.06603879990976758,0.039542678256664354,11,stratified,0.026496121653103222,professor
836,0.05943377050670684,0.03293764885360362,11,stratified,0.026496121653103222,professor
852,0.05551817828955885,0.02902205663645563,11,stratified,0.026496121653103222,professor
868,0.05527113362971703,0.028775011976613807,11,stratified,0.026496121653103222,professor
884,0.048534201954397393,0.02203808030129417,11,stratified,0.026496121653103222,professor
900,0.052018373612029545,0.025522251958926323,11,stratified,0.026496121653103222,professor
916,0.05550721084902377,0.029011089195920547,11,stratified,0.026496121653103222,professor
932,0.05755218025319675,0.031056058600093528,11,stratified,0.026496121653103222,professor
948,0.058415556126073964,0.03191943447297074,11,stratified,0.026496121653103222,professor
964,0.055300096309918056,0.028803974656814835,11,stratified,0.026496121653103222,professor
980,0.056271006716553607,0.029774885063450385,11,stratified,0.026496121653103222,professor
996,0.058081506632304714,0.03158538497920149,11,stratified,0.026496121653103222,professor
1012,0.05353873478891469,0.027042613135811466,11,stratified,0.026496121653103222,professor
1028,0.051558974583569395,0.025062852930466173,11,stratified,0.026496121653103222,professor
1044,0.050582809003015705,0.024086687349912483,11,stratified,0.026496121653103222,professor
1060,0.04599842593060177,0.01950230427749855,11,stratified,0.026496121653103222,professor
1076,0.04841943672319149,0.021923315070088267,11,stratified,0.026496121653103222,professor
1092,0.05049050131059063,0.023994379657487408,11,stratified,0.026496121653103222,professor
1108,0.05667520834983031,0.030179086696727087,11,stratified,0.026496121653103222,professor
1124,0.0581091215869699,0.03161299993386668,11,stratified,0.026496121653103222,professor
1140,0.06051536272764235,0.03401924107453913,11,stratified,0.026496121653103222,professor
1156,0.06035325244153755,0.03385713078843433,11,stratified,0.026496121653103222,professor
1172,0.06230328773500737,0.03580716608190415,11,stratified,0.026496121653103222,professor
1188,0.05730942492903757,0.030813303275934345,11,stratified,0.026496121653103222,professor
1204,0.06150291204370484,0.035006790390601616,11,stratified,0.026496121653103222,professor
1220,0.06398003654052042,0.0374839148874172,11,stratified,0.026496121653103222,professor
1236,0.06703838992063571,0.04054226826753249,11,stratified,0.026496121653103222,professor
1252,0.06990880631405305,0.04341268466094983,11,stratified,0.026496121653103222,professor
