t_size,delta_auc,abs_error_roc_auc_diff,seed,strategy,true_delta,pos_label
20,0.09999999999999998,0.07350387834689676,7,random,0.026496121653103222,professor
36,-0.003676470588235281,0.030172592241338503,7,random,0.026496121653103222,professor
52,0.12057971014492752,0.0940835884918243,7,random,0.026496121653103222,professor
68,0.08458516791850124,0.058089046265398014,7,random,0.026496121653103222,professor
84,0.05233990147783241,0.025843779824729185,7,random,0.026496121653103222,professor
100,0.04208068362480133,0.015584561971698108,7,random,0.026496121653103222,professor
116,0.031552988074727284,0.005056866421624062,7,random,0.026496121653103222,professor
132,0.017844125677996536,0.008651995975106685,7,random,0.026496121653103222,professor
148,0.0168560253306016,0.009640096322501623,7,random,0.026496121653103222,professor
164,0.020937499999999942,0.0055586216531032795,7,random,0.026496121653103222,professor
180,0.012949874269214567,0.013546247383888654,7,random,0.026496121653103222,professor
196,0.01687086843336838,0.009625253219734842,7,random,0.026496121653103222,professor
212,0.014145193024424962,0.01235092862867826,7,random,0.026496121653103222,professor
228,0.016919191919192,0.009576929733911221,7,random,0.026496121653103222,professor
244,0.006127507054068393,0.02036861459903483,7,random,0.026496121653103222,professor
260,-0.0039816055493269165,0.030477727202430138,7,random,0.026496121653103222,professor
276,-0.021777992206148955,0.04827411385925218,7,random,0.026496121653103222,professor
292,0.036743639017952634,0.010247517364849412,7,random,0.026496121653103222,professor
308,0.05102645545675799,0.02453033380365477,7,random,0.026496121653103222,professor
324,0.06489879766357065,0.03840267601046743,7,random,0.026496121653103222,professor
340,0.0650276094796296,0.03853148782652638,7,random,0.026496121653103222,professor
356,0.06651667732109967,0.04002055566799645,7,random,0.026496121653103222,professor
372,0.08108890743486152,0.0545927857817583,7,random,0.026496121653103222,professor
388,0.07550424931877509,0.04900812766567186,7,random,0.026496121653103222,professor
404,0.08128103255485208,0.05478491090174886,7,random,0.026496121653103222,professor
420,0.06370270711024129,0.037206585457138064,7,random,0.026496121653103222,professor
436,0.0827231434038419,0.05622702175073868,7,random,0.026496121653103222,professor
452,0.07618055075203856,0.049684429098935334,7,random,0.026496121653103222,professor
468,0.06805699907421692,0.041560877421113696,7,random,0.026496121653103222,professor
484,0.06892284321055286,0.04242672155744964,7,random,0.026496121653103222,professor
500,0.0632551720965212,0.036759050443417984,7,random,0.026496121653103222,professor
516,0.06139392192422477,0.03489780027112155,7,random,0.026496121653103222,professor
532,0.06254020102704305,0.03604407937393983,7,random,0.026496121653103222,professor
548,0.060404543377636455,0.03390842172453323,7,random,0.026496121653103222,professor
564,0.05372537755128415,0.027229255898180926,7,random,0.026496121653103222,professor
580,0.05445086187209658,0.027954740218993357,7,random,0.026496121653103222,professor
596,0.06293874021736423,0.03644261856426101,7,random,0.026496121653103222,professor
612,0.06525018246774705,0.03875406081464383,7,random,0.026496121653103222,professor
628,0.06755984563955564,0.041063723986452416,7,random,0.026496121653103222,professor
644,0.07162673690086119,0.045130615247757966,7,random,0.026496121653103222,professor
660,0.07491841761672369,0.048422295963620465,7,random,0.026496121653103222,professor
676,0.08217495738882263,0.05567883573571941,7,random,0.026496121653103222,professor
692,0.08063555284346335,0.05413943119036013,7,random,0.026496121653103222,professor
