t_size,delta_auc,abs_error_roc_auc_diff,seed,strategy,true_delta,pos_label
20,-0.29166666666666663,0.31816278831976985,19,random,0.026496121653103222,professor
36,-0.13749999999999996,0.16399612165310318,19,random,0.026496121653103222,professor
52,-0.1923076923076924,0.21880381396079562,19,random,0.026496121653103222,professor
68,-0.0576704545454545,0.08416657619855772,19,random,0.026496121653103222,professor
84,-0.05357142857142849,0.08006755022453171,19,random,0.026496121653103222,professor
100,-0.04014939309056953,0.06664551474367275,19,random,0.026496121653103222,professor
116,-0.05192806680777984,0.07842418846088306,19,random,0.026496121653103222,professor
132,-0.037778331671651566,0.06427445332475479,19,random,0.026496121653103222,professor
148,-0.02979398387035115,0.05629010552345437,19,random,0.026496121653103222,professor
164,-0.03254796542272831,0.05904408707583153,19,random,0.026496121653103222,professor
180,-0.04596023526403281,0.07245635691713603,19,random,0.026496121653103222,professor
196,-0.02714699365026174,0.05364311530336496,19,random,0.026496121653103222,professor
212,-0.02971536660061258,0.0562114882537158,19,random,0.026496121653103222,professor
228,-0.03090994084684273,0.05740606249994595,19,random,0.026496121653103222,professor
244,-0.014069980941756266,0.04056610259485949,19,random,0.026496121653103222,professor
260,-0.020227080309627388,0.04672320196273061,19,random,0.026496121653103222,professor
276,-0.022678285010897192,0.049174406664000414,19,random,0.026496121653103222,professor
292,-0.028587239493498506,0.05508336114660173,19,random,0.026496121653103222,professor
308,-0.022550847939673102,0.049046969592776324,19,random,0.026496121653103222,professor
324,0.0038691003603285035,0.02262702129277472,19,random,0.026496121653103222,professor
340,0.012498035880791347,0.013998085772311875,19,random,0.026496121653103222,professor
356,0.019448339842503604,0.007047781810599618,19,random,0.026496121653103222,professor
372,0.014907416350530611,0.01158870530257261,19,random,0.026496121653103222,professor
388,0.003310689050125659,0.023185432602977563,19,random,0.026496121653103222,professor
404,0.00043625021884785564,0.026059871434255366,19,random,0.026496121653103222,professor
420,0.00820093783369713,0.01829518381940609,19,random,0.026496121653103222,professor
436,0.023896989305251415,0.002599132347851807,19,random,0.026496121653103222,professor
452,0.014008746258035498,0.012487375395067724,19,random,0.026496121653103222,professor
468,0.017405190125196368,0.009090931527906854,19,random,0.026496121653103222,professor
484,0.00719374194543887,0.019302379707664352,19,random,0.026496121653103222,professor
500,0.014227997429095085,0.012268124224008137,19,random,0.026496121653103222,professor
516,0.013363742236024767,0.013132379417078455,19,random,0.026496121653103222,professor
532,0.007767695498429594,0.018728426154673627,19,random,0.026496121653103222,professor
548,0.009292370651036608,0.017203751002066614,19,random,0.026496121653103222,professor
564,0.005407990733416246,0.021088130919686976,19,random,0.026496121653103222,professor
580,0.0026743251501141208,0.0238217965029891,19,random,0.026496121653103222,professor
596,0.007383917794263839,0.019112203858839383,19,random,0.026496121653103222,professor
612,0.011132755186773702,0.01536336646632952,19,random,0.026496121653103222,professor
628,0.006921710805505521,0.0195744108475977,19,random,0.026496121653103222,professor
644,0.007591373182771033,0.01890474847033219,19,random,0.026496121653103222,professor
660,0.005193566273231753,0.02130255537987147,19,random,0.026496121653103222,professor
676,0.013188113626988462,0.01330800802611476,19,random,0.026496121653103222,professor
692,0.015190177526654969,0.011305944126448253,19,random,0.026496121653103222,professor
708,0.0049408937983049794,0.021555227854798242,19,random,0.026496121653103222,professor
724,0.01340501121256188,0.013091110440541343,19,random,0.026496121653103222,professor
740,0.01146447611752599,0.015031645535577232,19,random,0.026496121653103222,professor
756,0.016858804493771418,0.009637317159331804,19,random,0.026496121653103222,professor
772,0.006528434846598707,0.019967686806504514,19,random,0.026496121653103222,professor
788,0.004708445793972227,0.021787675859130995,19,random,0.026496121653103222,professor
804,0.004859595308720044,0.021636526344383178,19,random,0.026496121653103222,professor
820,-0.0021319845285288075,0.02862810618163203,19,random,0.026496121653103222,professor
836,-0.00038740797836822605,0.026883529631471448,19,random,0.026496121653103222,professor
852,0.0027901925224506074,0.023705929130652614,19,random,0.026496121653103222,professor
868,0.00023684398684409302,0.02625927766625913,19,random,0.026496121653103222,professor
884,-0.00034236480647520384,0.026838486459578426,19,random,0.026496121653103222,professor
900,0.006266033009677319,0.020230088643425903,19,random,0.026496121653103222,professor
916,0.008975347096298991,0.01752077455680423,19,random,0.026496121653103222,professor
932,0.008833690848088382,0.01766243080501484,19,random,0.026496121653103222,professor
948,0.00728481998824293,0.019211301664860292,19,random,0.026496121653103222,professor
964,0.008637154646326417,0.017858967006776805,19,random,0.026496121653103222,professor
980,0.009063736388830734,0.017432385264272487,19,random,0.026496121653103222,professor
996,0.008903715326122774,0.017592406326980448,19,random,0.026496121653103222,professor
1012,0.014037992726184223,0.012458128926918999,19,random,0.026496121653103222,professor
1028,0.011176842417656707,0.015319279235446515,19,random,0.026496121653103222,professor
1044,0.016667676812079035,0.009828444841024186,19,random,0.026496121653103222,professor
1060,0.018888798776538818,0.007607322876564404,19,random,0.026496121653103222,professor
1076,0.01975161714509377,0.006744504508009452,19,random,0.026496121653103222,professor
1092,0.022996766831253623,0.0034993548218495985,19,random,0.026496121653103222,professor
1108,0.01953867313465163,0.006957448518451592,19,random,0.026496121653103222,professor
