t_size,delta_auc,abs_error_roc_auc_diff,seed,strategy,true_delta,pos_label
20,0.5333333333333334,0.5068372116802302,11,random,0.026496121653103222,professor
36,0.41826923076923084,0.3917731091161276,11,random,0.026496121653103222,professor
52,0.2811313999283924,0.2546352782752892,11,random,0.026496121653103222,professor
68,0.2628205128205128,0.23632439116740955,11,random,0.026496121653103222,professor
84,0.24711981566820274,0.22062369401509951,11,random,0.026496121653103222,professor
100,0.2736737511505313,0.24717762949742805,11,random,0.026496121653103222,professor
116,0.2614628989841695,0.2349667773310663,11,random,0.026496121653103222,professor
132,0.21397478622542576,0.18747866457232254,11,random,0.026496121653103222,professor
148,0.21906063285373634,0.19256451120063311,11,random,0.026496121653103222,professor
164,0.20816194922263798,0.18166582756953475,11,random,0.026496121653103222,professor
180,0.17651368239603527,0.15001756074293204,11,random,0.026496121653103222,professor
196,0.17485383342526206,0.14835771177215884,11,random,0.026496121653103222,professor
212,0.20380216802168039,0.17730604636857716,11,random,0.026496121653103222,professor
228,0.1985128510067513,0.1720167293536481,11,random,0.026496121653103222,professor
244,0.16983101294804226,0.14333489129493904,11,random,0.026496121653103222,professor
260,0.16252750275027494,0.13603138109717172,11,random,0.026496121653103222,professor
276,0.1356530697563305,0.10915694810322729,11,random,0.026496121653103222,professor
292,0.14688955201886222,0.120393430365759,11,random,0.026496121653103222,professor
308,0.1267284284651341,0.10023230681203088,11,random,0.026496121653103222,professor
324,0.12090233262108252,0.0944062109679793,11,random,0.026496121653103222,professor
340,0.1430140890095124,0.11651796735640918,11,random,0.026496121653103222,professor
356,0.15306876119563928,0.12657263954253606,11,random,0.026496121653103222,professor
372,0.13363121185701832,0.1071350902039151,11,random,0.026496121653103222,professor
388,0.11943099248139266,0.09293487082828944,11,random,0.026496121653103222,professor
404,0.12023732018849198,0.09374119853538876,11,random,0.026496121653103222,professor
420,0.11115389588657654,0.08465777423347332,11,random,0.026496121653103222,professor
436,0.10602039139127062,0.0795242697381674,11,random,0.026496121653103222,professor
452,0.09662358422577644,0.07012746257267322,11,random,0.026496121653103222,professor
468,0.08459533071121206,0.058099209058108836,11,random,0.026496121653103222,professor
484,0.08191276224800748,0.055416640594904254,11,random,0.026496121653103222,professor
500,0.08557176705324865,0.05907564540014543,11,random,0.026496121653103222,professor
516,0.08969541427270478,0.06319929261960155,11,random,0.026496121653103222,professor
532,0.09219279249264256,0.06569667083953934,11,random,0.026496121653103222,professor
548,0.08351943982413956,0.05702331817103634,11,random,0.026496121653103222,professor
564,0.07306373830744661,0.04656761665434339,11,random,0.026496121653103222,professor
580,0.06254835053577934,0.03605222888267612,11,random,0.026496121653103222,professor
596,0.06137118635487426,0.03487506470177104,11,random,0.026496121653103222,professor
612,0.06322265748404621,0.036726535830942986,11,random,0.026496121653103222,professor
628,0.058972527632082716,0.032476405978979495,11,random,0.026496121653103222,professor
644,0.06225142913556103,0.03575530748245781,11,random,0.026496121653103222,professor
660,0.05924733679560168,0.03275121514249846,11,random,0.026496121653103222,professor
676,0.07107013281067065,0.04457401115756743,11,random,0.026496121653103222,professor
692,0.06682497345718219,0.04032885180407897,11,random,0.026496121653103222,professor
708,0.057753338702995594,0.03125721704989237,11,random,0.026496121653103222,professor
724,0.052442054925093684,0.025945933271990462,11,random,0.026496121653103222,professor
740,0.05167609457163991,0.025179972918536686,11,random,0.026496121653103222,professor
756,0.04923981519681597,0.02274369354371275,11,random,0.026496121653103222,professor
772,0.056668275294156745,0.030172153641053523,11,random,0.026496121653103222,professor
