_step,T_size,err_active,width_abs,iter,h_min,h_max,run_id,seed,strategy,surrogate_batch_size,epochs_opt
1,4,0.039455509042167214,1.8622478246688843,1,-0.9407823085784912,0.9214655160903931,35f0mmba,60,bo,16,8
2,20,0.03192407474460557,1.8445958495140076,2,-0.9244248867034912,0.9201709628105164,35f0mmba,60,bo,16,8
3,36,0.01656079873981431,1.7383199334144592,3,-0.8559236526489258,0.8823962807655334,35f0mmba,60,bo,16,8
4,52,0.2019051967615123,1.4644158482551575,4,-0.9043160080909729,0.5600998401641846,35f0mmba,60,bo,16,8
5,68,0.11642677173557237,1.043182909488678,5,-0.6082211136817932,0.43496179580688477,35f0mmba,60,bo,16,8
6,84,0.24755871877613023,1.0984418988227844,6,-0.7669825553894043,0.3314593434333801,35f0mmba,60,bo,16,8
7,100,0.03870189771594956,0.6304566264152527,7,-0.32413309812545776,0.3063235282897949,35f0mmba,60,bo,16,8
8,116,0.05527553543987229,0.5818732976913452,8,-0.31641507148742676,0.26545822620391846,35f0mmba,60,bo,16,8
9,132,0.004501754189110252,0.4264063239097595,9,-0.17890429496765137,0.24750202894210815,35f0mmba,60,bo,16,8
10,148,0.0010408998971943584,0.46283864974975586,10,-0.20058131217956543,0.26225733757019043,35f0mmba,60,bo,16,8
11,164,0.04636409297046706,0.20324647426605225,11,-0.025462031364440918,0.17778444290161133,35f0mmba,60,bo,16,8
12,180,0.012521391963386086,0.14860206842422485,12,-0.05702531337738037,0.09157675504684448,35f0mmba,60,bo,16,8
13,196,0.009856259679221657,0.09058105945587158,13,-0.025349676609039307,0.06523138284683228,35f0mmba,60,bo,16,8
14,212,0.006282901620292214,0.0649036169052124,14,-0.008937597274780273,0.05596601963043213,35f0mmba,60,bo,16,8
15,228,0.017464822387122658,0.04757159948348999,15,-0.011453509330749512,0.03611809015274048,35f0mmba,60,bo,16,8
16,244,0.02413988695087388,0.031750380992889404,16,-0.01021796464920044,0.021532416343688965,35f0mmba,60,bo,16,8
17,260,0.02128440723361924,0.025573909282684326,17,-0.004274249076843262,0.021299660205841064,35f0mmba,60,bo,16,8
