_step,T_size,err_active,width_abs,iter,h_min,h_max,run_id,seed,strategy,surrogate_batch_size,epochs_opt
1,32,0.13838597010634246,1.3992357850074768,1,-0.7289665937423706,0.6702691912651062,s1prha6g,50,bo,16,10
2,48,0.1954353339578897,1.2723652124404907,2,-0.7225806713104248,0.5497845411300659,s1prha6g,50,bo,16,10
3,64,0.040682960262516166,0.99809730052948,3,-0.4306943416595459,0.5674029588699341,s1prha6g,50,bo,16,10
4,80,0.019734341612079764,0.9095486998558044,4,-0.36547142267227173,0.5440772771835327,s1prha6g,50,bo,16,10
5,96,0.06962478529475036,0.842963844537735,5,-0.3820694386959076,0.4608944058418274,s1prha6g,50,bo,16,10
6,112,0.10187638174555602,0.8343062698841095,6,-0.4099922478199005,0.424314022064209,s1prha6g,50,bo,16,10
7,128,0.09569530557654204,0.7302519083023071,7,-0.35178399085998535,0.3784679174423218,s1prha6g,50,bo,16,10
8,144,0.06714466582796874,0.6403546035289764,8,-0.2782846987247467,0.36206990480422974,s1prha6g,50,bo,16,10
9,160,0.05143030356428924,0.5987542271614075,9,-0.24177014827728271,0.35698407888412476,s1prha6g,50,bo,16,10
10,176,0.03162995349428954,0.5789114534854889,10,-0.21204841136932373,0.36686304211616516,s1prha6g,50,bo,16,10
11,192,0.03367494415304961,0.5213056206703186,11,-0.18529048562049866,0.33601513504981995,s1prha6g,50,bo,16,10
12,208,0.02184793721697631,0.49154070019721985,12,-0.15858101844787598,0.33295968174934387,s1prha6g,50,bo,16,10
13,224,0.008506495466449882,0.47165626287460327,13,-0.13529735803604126,0.336358904838562,s1prha6g,50,bo,16,10
14,240,0.006113294472911979,0.4331929385662079,14,-0.11367249488830566,0.3195204436779022,s1prha6g,50,bo,16,10
15,256,0.009391862859943534,0.42010754346847534,15,-0.11040836572647095,0.3096991777420044,s1prha6g,50,bo,16,10
16,272,0.008096370806911612,0.42126014828681946,16,-0.10968917608261108,0.3115709722042084,s1prha6g,50,bo,16,10
17,288,0.0010937489177972326,0.42069491744041443,17,-0.10240393877029419,0.31829097867012024,s1prha6g,50,bo,16,10
18,304,0.014777768364170218,0.383212685585022,18,-0.09734684228897095,0.285865843296051,s1prha6g,50,bo,16,10
19,320,0.009916562547901298,0.36220115423202515,19,-0.08197987079620361,0.28022128343582153,s1prha6g,50,bo,16,10
20,336,0.006582383027294303,0.3465147912502289,20,-0.07080250978469849,0.2757122814655304,s1prha6g,50,bo,16,10
21,352,0.009024996271351005,0.3423200249671936,21,-0.07114773988723755,0.27117228507995605,s1prha6g,50,bo,16,10
22,368,0.0012040771152764806,0.3485310971736908,22,-0.06643235683441162,0.2820987403392792,s1prha6g,50,bo,16,10
23,384,0.008279222955921317,0.3178279995918274,23,-0.058155953884124756,0.25967204570770264,s1prha6g,50,bo,16,10
24,400,0.00521992515585723,0.3168894052505493,24,-0.05462735891342163,0.2622620463371277,s1prha6g,50,bo,16,10
25,416,0.00453056763670745,0.3035789132118225,25,-0.04728275537490845,0.25629615783691406,s1prha6g,50,bo,16,10
26,432,0.005731504449626779,0.296883761882782,26,-0.033673107624053955,0.263210654258728,s1prha6g,50,bo,16,10
27,448,0.0016818903777807703,0.30669763684272766,27,-0.0426296591758728,0.26406797766685486,s1prha6g,50,bo,16,10
28,464,0.002984594592830514,0.28875136375427246,28,-0.03235381841659546,0.256397545337677,s1prha6g,50,bo,16,10
29,480,0.006740901580074454,0.2706349194049835,29,-0.03302109241485596,0.23761382699012756,s1prha6g,50,bo,16,10
30,496,0.001538720021030282,0.27434447407722473,30,-0.026596248149871826,0.2477482259273529,s1prha6g,50,bo,16,10
31,512,0.0065414123628347864,0.27336496114730835,31,-0.02110379934310913,0.2522611618041992,s1prha6g,50,bo,16,10
32,528,0.0066461675260275355,0.2520829439163208,32,-0.010358035564422607,0.2417249083518982,s1prha6g,50,bo,16,10
33,544,0.011274870524188851,0.2569369971752167,33,-0.008156359195709229,0.24878063797950745,s1prha6g,50,bo,16,10
34,560,0.0074746422860830775,0.2576189637184143,34,-0.012297570705413818,0.2453213930130005,s1prha6g,50,bo,16,10
35,576,0.008595611939212655,0.25293710827827454,35,-0.008835673332214355,0.24410143494606018,s1prha6g,50,bo,16,10
36,592,0.00802392889001069,0.24715030193328857,36,-0.00651395320892334,0.24063634872436523,s1prha6g,50,bo,16,10
37,608,0.0028512142989843836,0.24163785576820374,37,-0.008930444717407227,0.2327074110507965,s1prha6g,50,bo,16,10
38,624,0.008686166295787667,0.23371726274490356,38,0.0008648037910461426,0.2345820665359497,s1prha6g,50,bo,16,10
39,640,0.0088532083127707,0.24523794651031494,39,-0.004728496074676514,0.24050945043563843,s1prha6g,50,bo,16,10
40,656,0.013150181660434579,0.22386768460273743,40,0.010253608226776123,0.23412129282951355,s1prha6g,50,bo,16,10
41,672,0.005346637258312081,0.2188306450843811,41,0.004968583583831787,0.2237992286682129,s1prha6g,50,bo,16,10
