t_size,delta_auc,abs_error_roc_auc_diff,seed,strategy,true_delta
68,0.1607142857142856,0.0018488747683690354,16,random,0.15886541094591655
84,0.15294117647058814,0.005924234475328416,16,random,0.15886541094591655
100,0.03478131064337964,0.12408410030253691,16,random,0.15886541094591655
116,0.0463659147869675,0.11249949615894905,16,random,0.15886541094591655
132,-0.020396270396270233,0.17926168134218678,16,random,0.15886541094591655
148,0.02044319600499378,0.13842221494092277,16,random,0.15886541094591655
164,-0.0073356468093308536,0.1662010577552474,16,random,0.15886541094591655
180,0.2377551020408163,0.07888969109489974,16,random,0.15886541094591655
196,0.24065895471338383,0.08179354376746728,16,random,0.15886541094591655
212,0.22132393187159916,0.062458520925682603,16,random,0.15886541094591655
228,0.21677777777777774,0.057912366831861184,16,random,0.15886541094591655
244,0.24294068504594812,0.08407527410003157,16,random,0.15886541094591655
260,0.17946339374910802,0.020597982803191472,16,random,0.15886541094591655
276,0.22265134612524162,0.06378593517932507,16,random,0.15886541094591655
292,0.22958801498127324,0.07072260403535668,16,random,0.15886541094591655
308,0.2397912990609119,0.08092588811499535,16,random,0.15886541094591655
324,0.23469726296734583,0.07583185202142928,16,random,0.15886541094591655
340,0.19630847146143926,0.03744306051552271,16,random,0.15886541094591655
356,0.18702824324242362,0.028162832296507068,16,random,0.15886541094591655
372,0.21150691984110714,0.05264150889519059,16,random,0.15886541094591655
388,0.20348422292944168,0.04461881198352513,16,random,0.15886541094591655
404,0.2167171017171018,0.05785169077118524,16,random,0.15886541094591655
420,0.2188473798757231,0.05998196892980656,16,random,0.15886541094591655
436,0.19197880088438035,0.0331133899384638,16,random,0.15886541094591655
452,0.18457748888400016,0.02571207793808361,16,random,0.15886541094591655
468,0.1962453935080014,0.03737998256208486,16,random,0.15886541094591655
484,0.19888799613042552,0.04002258518450896,16,random,0.15886541094591655
500,0.21200663482870796,0.05314122388279141,16,random,0.15886541094591655
516,0.23408095781131955,0.075215546865403,16,random,0.15886541094591655
532,0.23991660012421268,0.08105118917829612,16,random,0.15886541094591655
548,0.23310812190410857,0.07424271095819202,16,random,0.15886541094591655
564,0.2259991689897658,0.06713375804384925,16,random,0.15886541094591655
580,0.23238431872854026,0.07351890778262371,16,random,0.15886541094591655
596,0.22873796841416683,0.06987255746825027,16,random,0.15886541094591655
612,0.2310424519632036,0.07217704101728706,16,random,0.15886541094591655
628,0.20631197021418501,0.04744655926826846,16,random,0.15886541094591655
644,0.20739892740864097,0.04853351646272441,16,random,0.15886541094591655
660,0.21352247750623943,0.054657066560322876,16,random,0.15886541094591655
676,0.20904120232522638,0.05017579137930983,16,random,0.15886541094591655
692,0.21073666724620632,0.05187125630028977,16,random,0.15886541094591655
708,0.18941262541806014,0.03054721447214359,16,random,0.15886541094591655
724,0.17646866650144988,0.017603255555533326,16,random,0.15886541094591655
740,0.16481529016413954,0.0059498792182229865,16,random,0.15886541094591655
756,0.16807081450585104,0.009205403559934489,16,random,0.15886541094591655
772,0.1792098086605033,0.020344397714586737,16,random,0.15886541094591655
788,0.1761519270452402,0.017286516099323634,16,random,0.15886541094591655
804,0.17547810600648184,0.016612695060565286,16,random,0.15886541094591655
820,0.18916454637950597,0.03029913543358942,16,random,0.15886541094591655
836,0.18440571805419825,0.0255403071082817,16,random,0.15886541094591655
852,0.1810387097274575,0.02217329878154095,16,random,0.15886541094591655
868,0.18495591198535,0.026090501039433445,16,random,0.15886541094591655
884,0.19210150076504406,0.03323608981912751,16,random,0.15886541094591655
900,0.18945175181053042,0.03058634086461387,16,random,0.15886541094591655
916,0.1953106802847887,0.036445269338872155,16,random,0.15886541094591655
932,0.20435752239505756,0.045492111449141004,16,random,0.15886541094591655
948,0.2071891167011215,0.04832370575520495,16,random,0.15886541094591655
964,0.20417787482659577,0.04531246388067922,16,random,0.15886541094591655
980,0.20158244915030377,0.042717038204387214,16,random,0.15886541094591655
996,0.21209489407405624,0.05322948312813969,16,random,0.15886541094591655
1012,0.2076134325086515,0.048748021562734944,16,random,0.15886541094591655
1028,0.21065361075937228,0.051788199813455726,16,random,0.15886541094591655
1044,0.21028994903533516,0.0514245380894186,16,random,0.15886541094591655
1060,0.1942284748657297,0.03536306391981314,16,random,0.15886541094591655
1076,0.18583989152922398,0.026974480583307425,16,random,0.15886541094591655
1092,0.17970252841737122,0.02083711747145467,16,random,0.15886541094591655
1108,0.17805009856941179,0.019184687623495233,16,random,0.15886541094591655
1124,0.180306606711075,0.02144119576515846,16,random,0.15886541094591655
