t_size,delta_auc,abs_error_roc_auc_diff,seed,strategy,true_delta
820,0.05815124893051937,0.07229848902968161,10,power,0.13044973796020098
836,0.05380694526153451,0.07664279269866647,10,power,0.13044973796020098
852,0.054114906832298026,0.07633483112790296,10,power,0.13044973796020098
868,0.07128480242370272,0.059164935536498264,10,power,0.13044973796020098
884,0.06414454796141178,0.0663051899987892,10,power,0.13044973796020098
900,0.06805800669013184,0.06239173127006914,10,power,0.13044973796020098
916,0.07083182172807367,0.05961791623212731,10,power,0.13044973796020098
932,0.07467048151173894,0.055779256448462045,10,power,0.13044973796020098
948,0.06132160312805479,0.06912813483214619,10,power,0.13044973796020098
964,0.05622801139219291,0.07422172656800807,10,power,0.13044973796020098
980,0.05760788104338155,0.07284185691681944,10,power,0.13044973796020098
996,0.06428950804699873,0.06616022991320225,10,power,0.13044973796020098
1012,0.06188499934332914,0.06856473861687185,10,power,0.13044973796020098
1028,0.06777561805058108,0.06267411990961991,10,power,0.13044973796020098
1044,0.064243480003773,0.06620625795642798,10,power,0.13044973796020098
1060,0.05180606115590636,0.07864367680429463,10,power,0.13044973796020098
1076,0.051013243828538335,0.07943649413166265,10,power,0.13044973796020098
1092,0.05250172513192375,0.07794801282827724,10,power,0.13044973796020098
1108,0.051059140083861476,0.07939059787633951,10,power,0.13044973796020098
1124,0.05408262496153271,0.07636711299866827,10,power,0.13044973796020098
1140,0.05633972945428478,0.0741100085059162,10,power,0.13044973796020098
1156,0.05852544315363406,0.07192429480656692,10,power,0.13044973796020098
1172,0.04978877129948556,0.08066096666071543,10,power,0.13044973796020098
1188,0.0482632108385489,0.08218652712165209,10,power,0.13044973796020098
1204,0.050603226302658455,0.07984651165754253,10,power,0.13044973796020098
1220,0.04697335398833835,0.08347638397186263,10,power,0.13044973796020098
1236,0.046570104057686135,0.08387963390251485,10,power,0.13044973796020098
1252,0.04732385365158909,0.0831258843086119,10,power,0.13044973796020098
1268,0.04525956048775526,0.08519017747244573,10,power,0.13044973796020098
1284,0.042495864026173,0.08795387393402798,10,power,0.13044973796020098
1300,0.03855346471252541,0.09189627324767558,10,power,0.13044973796020098
1316,0.04759642318465851,0.08285331477554247,10,power,0.13044973796020098
1332,0.047122229560281004,0.08332750839991998,10,power,0.13044973796020098
1348,0.04413046452094771,0.08631927343925327,10,power,0.13044973796020098
1364,0.04702197204964942,0.08342776591055157,10,power,0.13044973796020098
1380,0.04390243116614523,0.08654730679405576,10,power,0.13044973796020098
1396,0.03692573604077887,0.09352400191942212,10,power,0.13044973796020098
1412,0.03502777203253926,0.09542196592766172,10,power,0.13044973796020098
1428,0.04170614182533128,0.0887435961348697,10,power,0.13044973796020098
1444,0.04050474062855691,0.08994499733164407,10,power,0.13044973796020098
1460,0.04213832444152532,0.08831141351867566,10,power,0.13044973796020098
1476,0.038504367906163406,0.09194537005403758,10,power,0.13044973796020098
1492,0.04051740675253157,0.08993233120766941,10,power,0.13044973796020098
1508,0.04552995053142206,0.08491978742877893,10,power,0.13044973796020098
1524,0.04616739663897185,0.08428234132122914,10,power,0.13044973796020098
1540,0.047344195119454646,0.08310554284074634,10,power,0.13044973796020098
1556,0.045468606301743764,0.08498113165845722,10,power,0.13044973796020098
1572,0.042926942506649746,0.08752279545355124,10,power,0.13044973796020098
1588,0.05230903842522405,0.07814069953497693,10,power,0.13044973796020098
1604,0.050090675161336806,0.08035906279886418,10,power,0.13044973796020098
1620,0.044476615394503316,0.08597312256569767,10,power,0.13044973796020098
1636,0.0409249909221322,0.08952474703806879,10,power,0.13044973796020098
1652,0.042556034868270975,0.08789370309193001,10,power,0.13044973796020098
1668,0.0419512649774193,0.08849847298278168,10,power,0.13044973796020098
1684,0.03998525310483125,0.09046448485536973,10,power,0.13044973796020098
1700,0.04561816864040036,0.08483156931980063,10,power,0.13044973796020098
1716,0.04179527178394837,0.08865446617625261,10,power,0.13044973796020098
1732,0.04499335716420649,0.08545638079599449,10,power,0.13044973796020098
1748,0.04614693636547684,0.08430280159472414,10,power,0.13044973796020098
1764,0.05069011231681875,0.07975962564338224,10,power,0.13044973796020098
1780,0.04790257164666112,0.08254716631353987,10,power,0.13044973796020098
1796,0.04568798277112418,0.0847617551890768,10,power,0.13044973796020098
1812,0.045725801909691666,0.08472393605050932,10,power,0.13044973796020098
1828,0.05009226881398399,0.080357469146217,10,power,0.13044973796020098
1844,0.04521636923545669,0.0852333687247443,10,power,0.13044973796020098
1860,0.04657377163096543,0.08387596632923555,10,power,0.13044973796020098
1876,0.049307617948394555,0.08114212001180643,10,power,0.13044973796020098
1892,0.05230515367119093,0.07814458428901006,10,power,0.13044973796020098
1908,0.06025029342572319,0.0701994445344778,10,power,0.13044973796020098
1924,0.052973444254662216,0.07747629370553877,10,power,0.13044973796020098
1940,0.05698615593406586,0.07346358202613512,10,power,0.13044973796020098
1956,0.057492255408447046,0.07295748255175394,10,power,0.13044973796020098
1972,0.05679283624708975,0.07365690171311123,10,power,0.13044973796020098
1988,0.05724210890333448,0.07320762905686651,10,power,0.13044973796020098
2004,0.058334919818435194,0.07211481814176579,10,power,0.13044973796020098
2020,0.06448781395845538,0.06596192400174561,10,power,0.13044973796020098
2036,0.06969374933247396,0.06075598862772702,10,power,0.13044973796020098
2052,0.07389729419778146,0.056552443762419524,10,power,0.13044973796020098
2068,0.07493181373295343,0.05551792422724755,10,power,0.13044973796020098
