strategy,epsilon,mean_crossing_T,error_at_crossing_T_mean,error_at_crossing_T_std,error_at_crossing_T_median,n_at_crossing_T,queries_to_0.02_mean,queries_to_0.02_std,queries_to_0.02_median,queries_to_0.02_n_reached,queries_to_0.05_mean,queries_to_0.05_std,queries_to_0.05_median,queries_to_0.05_n_reached,auec_mean,auec_std,error_at_250_mean,error_at_250_std
power,0.02,8436.0,0.019971949748876654,0.009202093520256171,0.0209460267513745,20,1404.8,2574.8194810510504,332.0,20.0,,,,,0.0421403934917331,0.017434852262293223,0.10755242445075888,0.056366406411029364
power,0.05,932.0,0.049698098343916725,0.045884442004428885,0.0315139422317542,20,,,,,465.6,1252.5279398081304,76.0,20.0,0.0421403934917331,0.017434852262293223,0.10755242445075888,0.056366406411029364
stratified,0.02,5956.0,0.019729160333266334,0.015061767820940495,0.01530126266560805,20,277.6842105263158,267.52452964395405,164.0,19.0,,,,,0.02825502835711053,0.014177743210645325,0.06439398011679352,0.03797158892248203
stratified,0.05,452.0,0.04927584883917098,0.03074867724276613,0.0492090107640514,20,,,,,165.6,192.72529673086507,108.0,20.0,0.02825502835711053,0.014177743210645325,0.06439398011679352,0.03797158892248203
