t_size,delta_auc,abs_error_roc_auc_diff,seed,strategy,true_delta
68,-0.41560283687943267,0.5574212683175687,2,power,0.141818431438136
84,-0.3129186602870814,0.45473709172521737,2,power,0.141818431438136
100,-0.06526806526806528,0.20708649670620127,2,power,0.141818431438136
116,-0.12321774335504321,0.2650361747931792,2,power,0.141818431438136
132,-0.08831460674157299,0.23013303817970898,2,power,0.141818431438136
148,-0.11142857142857143,0.2532470028667074,2,power,0.141818431438136
164,-0.014920544295365934,0.15673897573350193,2,power,0.141818431438136
180,0.01786874999999999,0.123949681438136,2,power,0.141818431438136
196,0.05060690943043877,0.09121152200769722,2,power,0.141818431438136
212,0.03858925238235589,0.10322917905578011,2,power,0.141818431438136
228,0.05793226381461691,0.08388616762351908,2,power,0.141818431438136
244,0.0763780008421161,0.0654404305960199,2,power,0.141818431438136
260,0.17569169960474312,0.03387326816660713,2,power,0.141818431438136
276,0.11357302118171686,0.028245410256419134,2,power,0.141818431438136
292,0.08956470795008498,0.05225372348805102,2,power,0.141818431438136
308,0.07749687744698974,0.06432155399114625,2,power,0.141818431438136
324,0.06322215176686241,0.07859627967127358,2,power,0.141818431438136
340,0.06058849872237293,0.08122993271576306,2,power,0.141818431438136
356,0.07101316192225282,0.07080526951588317,2,power,0.141818431438136
372,0.08682796755471534,0.05499046388342066,2,power,0.141818431438136
388,0.1035067906921453,0.038311640745990694,2,power,0.141818431438136
404,0.09492951270929606,0.046888918728839935,2,power,0.141818431438136
420,0.0882354957614474,0.05358293567668859,2,power,0.141818431438136
436,0.08210182634425056,0.05971660509388543,2,power,0.141818431438136
452,0.08941146992497817,0.052406961513157824,2,power,0.141818431438136
468,0.08058355700343534,0.06123487443470066,2,power,0.141818431438136
484,0.08602398951943024,0.05579444191870575,2,power,0.141818431438136
500,0.12731837928501255,0.014500052153123444,2,power,0.141818431438136
516,0.13907077896070352,0.0027476524774324718,2,power,0.141818431438136
532,0.1476018567823798,0.005783425344243809,2,power,0.141818431438136
548,0.13539601663866263,0.006422414799473364,2,power,0.141818431438136
