t_size,delta_auc,abs_error_roc_auc_diff,seed,strategy,true_delta
36,0.4023809523809523,0.24586594056881494,14,random,0.15651501181213734
52,-0.08387096774193548,0.24038597955407282,14,random,0.15651501181213734
68,0.13124999999999998,0.02526501181213736,14,random,0.15651501181213734
84,0.15968357883251488,0.003168567020377544,14,random,0.15651501181213734
100,0.24362674362674352,0.08711173181460619,14,random,0.15651501181213734
116,0.203762084909626,0.04724707309748866,14,random,0.15651501181213734
132,0.19236249538575112,0.03584748357361378,14,random,0.15651501181213734
148,0.21205648254698883,0.055541470734851495,14,random,0.15651501181213734
164,0.23787976729153198,0.08136475547939465,14,random,0.15651501181213734
180,0.18744859307359302,0.030933581261455678,14,random,0.15651501181213734
196,0.18320998698763824,0.0266949751755009,14,random,0.15651501181213734
212,0.2049663024275339,0.04845129061539655,14,random,0.15651501181213734
228,0.22240810767837532,0.06589309586623798,14,random,0.15651501181213734
244,0.21464815327071335,0.05813314145857601,14,random,0.15651501181213734
260,0.18907123978117885,0.03255622796904151,14,random,0.15651501181213734
276,0.20836217782307437,0.05184716601093703,14,random,0.15651501181213734
292,0.21081065547860578,0.05429564366646844,14,random,0.15651501181213734
308,0.2334686449390126,0.07695363312687525,14,random,0.15651501181213734
324,0.23774551320830806,0.08123050139617072,14,random,0.15651501181213734
340,0.2312459685731576,0.07473095676102026,14,random,0.15651501181213734
356,0.19740675990676,0.04089174809462265,14,random,0.15651501181213734
372,0.210391722333942,0.05387671052180465,14,random,0.15651501181213734
388,0.21463109814259207,0.05811608633045473,14,random,0.15651501181213734
404,0.1801299397840026,0.023614927971865263,14,random,0.15651501181213734
420,0.16747598610259556,0.010960974290458225,14,random,0.15651501181213734
436,0.14644747572865974,0.010067536083477602,14,random,0.15651501181213734
452,0.13132791358597806,0.025187098226159277,14,random,0.15651501181213734
468,0.1540782929209078,0.002436718891229539,14,random,0.15651501181213734
484,0.16039840768397406,0.0038833958718367256,14,random,0.15651501181213734
500,0.16263294308607257,0.006117931273935229,14,random,0.15651501181213734
516,0.1542807308970099,0.002234280915127451,14,random,0.15651501181213734
532,0.17176922629942776,0.015254214487290418,14,random,0.15651501181213734
548,0.16462324105977633,0.008108229247638987,14,random,0.15651501181213734
564,0.16586393520031956,0.009348923388182218,14,random,0.15651501181213734
580,0.16621159736036123,0.00969658554822389,14,random,0.15651501181213734
596,0.1649077727021041,0.008392760889966766,14,random,0.15651501181213734
612,0.19627283219115288,0.03975782037901554,14,random,0.15651501181213734
628,0.20005517127799732,0.043540159465859984,14,random,0.15651501181213734
644,0.19916678003704602,0.04265176822490868,14,random,0.15651501181213734
660,0.1902032613812359,0.03368824956909855,14,random,0.15651501181213734
676,0.18711140393853465,0.03059639212639731,14,random,0.15651501181213734
692,0.18464706807708986,0.02813205626495252,14,random,0.15651501181213734
708,0.18200218117341044,0.0254871693612731,14,random,0.15651501181213734
