t_size,delta_auc,abs_error_roc_auc_diff,seed,strategy,true_delta
36,0.002192982456140302,0.12840525123919344,10,bo,0.13059823369533374
52,0.11072796934865903,0.019870264346674715,10,bo,0.13059823369533374
68,0.10980861244019141,0.020789621255142332,10,bo,0.13059823369533374
84,0.10626750700280108,0.024330726692532667,10,bo,0.13059823369533374
100,0.031370803109933454,0.09922743058540029,10,bo,0.13059823369533374
116,0.06391501219087425,0.06668322150445949,10,bo,0.13059823369533374
132,-0.03152573529411762,0.16212396898945136,10,bo,0.13059823369533374
148,-0.0692935697216519,0.19989180341698565,10,bo,0.13059823369533374
164,-0.028925309597523263,0.159523543292857,10,bo,0.13059823369533374
180,-0.0195263086013151,0.15012454229664884,10,bo,0.13059823369533374
196,-0.021285822021116063,0.1518840557164498,10,bo,0.13059823369533374
212,-0.02867804272722496,0.1592762764225587,10,bo,0.13059823369533374
228,-0.015420529643893066,0.1460187633392268,10,bo,0.13059823369533374
244,0.024496051366343807,0.10610218232898994,10,bo,0.13059823369533374
260,0.038624885215794214,0.09197334847953953,10,bo,0.13059823369533374
276,0.04148754021680612,0.08911069347852763,10,bo,0.13059823369533374
292,0.05644403633342154,0.0741541973619122,10,bo,0.13059823369533374
308,0.06885169163223148,0.06174654206310226,10,bo,0.13059823369533374
324,0.09085752041634398,0.03974071327898976,10,bo,0.13059823369533374
340,0.0852648802648801,0.04533335343045364,10,bo,0.13059823369533374
356,0.07787955469114893,0.05271867900418481,10,bo,0.13059823369533374
372,0.08891467032845823,0.04168356336687551,10,bo,0.13059823369533374
388,0.09949907658056512,0.031099157114768627,10,bo,0.13059823369533374
404,0.09465430863221569,0.035943925063118054,10,bo,0.13059823369533374
420,0.1322664868416502,0.0016682531463164674,10,bo,0.13059823369533374
436,0.1493224859158473,0.01872425222051355,10,bo,0.13059823369533374
452,0.1554438450024574,0.02484561130712365,10,bo,0.13059823369533374
468,0.15336081373703098,0.022762580041697233,10,bo,0.13059823369533374
484,0.14634879240142395,0.015750558706090212,10,bo,0.13059823369533374
500,0.1411110205147308,0.010512786819397046,10,bo,0.13059823369533374
516,0.1546674231736157,0.02406918947828196,10,bo,0.13059823369533374
532,0.1547170916102955,0.024118857914961767,10,bo,0.13059823369533374
548,0.14790613918455042,0.01730790548921668,10,bo,0.13059823369533374
564,0.1324990981240981,0.0019008644287643595,10,bo,0.13059823369533374
580,0.13351813656601275,0.002919902870679003,10,bo,0.13059823369533374
596,0.15268323816429497,0.022085004468961222,10,bo,0.13059823369533374
612,0.14002649136577716,0.009428257670443418,10,bo,0.13059823369533374
628,0.14284737465425523,0.01224914095892149,10,bo,0.13059823369533374
644,0.1449544657982359,0.014356232102902156,10,bo,0.13059823369533374
660,0.13575730063519265,0.005159066939858903,10,bo,0.13059823369533374
676,0.1265093345665308,0.0040888991288029475,10,bo,0.13059823369533374
692,0.12546689409272205,0.005131339602611695,10,bo,0.13059823369533374
708,0.12919718269318436,0.0014010510021493783,10,bo,0.13059823369533374
724,0.14050071678843157,0.009902483093097825,10,bo,0.13059823369533374
740,0.14856169055616297,0.01796345686082923,10,bo,0.13059823369533374
756,0.14700912895709317,0.01641089526175943,10,bo,0.13059823369533374
772,0.13160322521617585,0.0010049915208421023,10,bo,0.13059823369533374
788,0.12624624513329108,0.0043519885620426635,10,bo,0.13059823369533374
804,0.12156573366305323,0.00903250003228051,10,bo,0.13059823369533374
820,0.11931852838544599,0.011279705309887755,10,bo,0.13059823369533374
836,0.11382979639415147,0.01676843730118227,10,bo,0.13059823369533374
852,0.11168285099610986,0.01891538269922388,10,bo,0.13059823369533374
868,0.11873153258020819,0.011866701115125555,10,bo,0.13059823369533374
884,0.12301644005851886,0.007581793636814882,10,bo,0.13059823369533374
900,0.12531246904058646,0.0052857646547472825,10,bo,0.13059823369533374
916,0.12151057501054252,0.009087658684791222,10,bo,0.13059823369533374
932,0.1317115752549165,0.001113341559582759,10,bo,0.13059823369533374
948,0.11946318046237459,0.011135053232959158,10,bo,0.13059823369533374
964,0.11290133610125297,0.017696897594080774,10,bo,0.13059823369533374
980,0.10779595009103882,0.022802283604294926,10,bo,0.13059823369533374
996,0.10268235248696145,0.027915881208372295,10,bo,0.13059823369533374
1012,0.10711883194110228,0.023479401754231466,10,bo,0.13059823369533374
1028,0.11154813157881416,0.019050102116519585,10,bo,0.13059823369533374
1044,0.11088477863116764,0.019713455064166108,10,bo,0.13059823369533374
1060,0.10666958271557891,0.02392865097975483,10,bo,0.13059823369533374
1076,0.10234831115386678,0.028249922541466965,10,bo,0.13059823369533374
1092,0.10367646410590692,0.026921769589426825,10,bo,0.13059823369533374
1108,0.09916200180946,0.031436231885873744,10,bo,0.13059823369533374
1124,0.10776847684524637,0.022829756850087368,10,bo,0.13059823369533374
1140,0.11697923820172618,0.013618995493607566,10,bo,0.13059823369533374
1156,0.11842029731094272,0.01217793638439102,10,bo,0.13059823369533374
1172,0.11942817297729147,0.011170060718042274,10,bo,0.13059823369533374
1188,0.11407572267501331,0.01652251102032043,10,bo,0.13059823369533374
1204,0.11930033688244812,0.011297896812885622,10,bo,0.13059823369533374
1220,0.12554330971535832,0.005054923979975423,10,bo,0.13059823369533374
1236,0.12790029255696722,0.002697941138366522,10,bo,0.13059823369533374
1252,0.13052716947840648,7.10642169272635e-05,10,bo,0.13059823369533374
1268,0.13028215371064078,0.00031607998469296295,10,bo,0.13059823369533374
1284,0.13028218461234142,0.00031604908299232015,10,bo,0.13059823369533374
1300,0.13060483973658832,6.606041254575423e-06,10,bo,0.13059823369533374
1316,0.13714306261610743,0.006544828920773682,10,bo,0.13059823369533374
1332,0.13671539120914555,0.006117157513811811,10,bo,0.13059823369533374
1348,0.13473459300721013,0.004136359311876392,10,bo,0.13059823369533374
1364,0.13181277026142735,0.0012145365660936047,10,bo,0.13059823369533374
1380,0.1314857674643577,0.0008875337690239515,10,bo,0.13059823369533374
1396,0.13258213540568442,0.0019839017103506773,10,bo,0.13059823369533374
1412,0.13178372221094137,0.0011854885156076245,10,bo,0.13059823369533374
1428,0.12456304055942402,0.006035193135909722,10,bo,0.13059823369533374
1444,0.1215274118706745,0.009070821824659236,10,bo,0.13059823369533374
1460,0.10951893036032645,0.021079303335007293,10,bo,0.13059823369533374
1476,0.1111224544491255,0.019475779246208247,10,bo,0.13059823369533374
1492,0.10740982060186466,0.023188413093469085,10,bo,0.13059823369533374
1508,0.11000705633795971,0.020591177357374035,10,bo,0.13059823369533374
1524,0.10997117839186232,0.02062705530347142,10,bo,0.13059823369533374
1540,0.10353002215437401,0.02706821154095973,10,bo,0.13059823369533374
1556,0.1015930651203647,0.029005168574969042,10,bo,0.13059823369533374
1572,0.10562547462676763,0.02497275906856611,10,bo,0.13059823369533374
1588,0.10409982148729557,0.02649841220803817,10,bo,0.13059823369533374
1604,0.10304117366978238,0.02755706002555136,10,bo,0.13059823369533374
1620,0.10725536715481265,0.02334286654052109,10,bo,0.13059823369533374
1636,0.10869597228059735,0.02190226141473639,10,bo,0.13059823369533374
1652,0.10952160316264781,0.021076630532685936,10,bo,0.13059823369533374
1668,0.10767081705301396,0.022927416642319787,10,bo,0.13059823369533374
1684,0.10258477955356038,0.028013454141773364,10,bo,0.13059823369533374
1700,0.10208493991540735,0.028513293779926396,10,bo,0.13059823369533374
1716,0.10078977668403688,0.029808457011296863,10,bo,0.13059823369533374
1732,0.09947923076205367,0.03111900293328007,10,bo,0.13059823369533374
1748,0.10389054552678634,0.026707688168547405,10,bo,0.13059823369533374
1764,0.10564205857399511,0.02495617512133863,10,bo,0.13059823369533374
1780,0.10320461706987727,0.027393616625456474,10,bo,0.13059823369533374
1796,0.10108120238616558,0.029517031309168162,10,bo,0.13059823369533374
1812,0.10303470556071215,0.027563528134621595,10,bo,0.13059823369533374
1828,0.0999462916554148,0.030651942039918945,10,bo,0.13059823369533374
1844,0.10277977830930862,0.02781845538602512,10,bo,0.13059823369533374
1860,0.09949516829760108,0.031103065397732665,10,bo,0.13059823369533374
1876,0.09866366457046905,0.0319345691248647,10,bo,0.13059823369533374
1892,0.09703894113891298,0.03355929255642076,10,bo,0.13059823369533374
1908,0.10139237059435535,0.02920586310097839,10,bo,0.13059823369533374
1924,0.09868557728214733,0.03191265641318641,10,bo,0.13059823369533374
1940,0.09988979436795264,0.0307084393273811,10,bo,0.13059823369533374
1956,0.10441593608363309,0.026182297611700656,10,bo,0.13059823369533374
1972,0.10336300326019665,0.027235230435137092,10,bo,0.13059823369533374
1988,0.10408955315155466,0.026508680543779084,10,bo,0.13059823369533374
