t_size,delta_auc,abs_error_roc_auc_diff,seed,strategy,true_delta
20,0.0277777777777779,0.12045563328762998,5,random,0.14823341106540788
36,0.09047619047619038,0.057757220589217506,5,random,0.14823341106540788
52,-0.053896103896103886,0.20212951496151177,5,random,0.14823341106540788
68,-0.024425287356321823,0.1726586984217297,5,random,0.14823341106540788
84,0.02020202020202022,0.12803139086338766,5,random,0.14823341106540788
100,0.1438775510204081,0.004355860044999771,5,random,0.14823341106540788
116,0.06197822141560794,0.08625518964979995,5,random,0.14823341106540788
132,0.08585481682496598,0.0623785942404419,5,random,0.14823341106540788
148,0.04908496732026141,0.09914844374514648,5,random,0.14823341106540788
164,0.07183235867446403,0.07640105239094386,5,random,0.14823341106540788
180,0.10695623162416329,0.041277179441244594,5,random,0.14823341106540788
196,0.12036591880341879,0.02786749226198909,5,random,0.14823341106540788
212,0.04110966904607405,0.10712374201933383,5,random,0.14823341106540788
228,0.0017473118279570654,0.14648609923745082,5,random,0.14823341106540788
244,-0.0064945898279231695,0.15472800089333105,5,random,0.14823341106540788
260,-0.012143974169290583,0.16037738523469847,5,random,0.14823341106540788
276,0.0017705882352940794,0.1464628228301138,5,random,0.14823341106540788
292,0.009514260249554374,0.1387191508158535,5,random,0.14823341106540788
308,0.0494945753338889,0.09873883573151898,5,random,0.14823341106540788
324,0.07438850716467016,0.07384490390073772,5,random,0.14823341106540788
340,0.0737250913965245,0.07450831966888338,5,random,0.14823341106540788
356,0.06367082999178864,0.08456258107361925,5,random,0.14823341106540788
372,0.0728212653922593,0.07541214567314858,5,random,0.14823341106540788
388,0.08607460304724213,0.062158808018165757,5,random,0.14823341106540788
404,0.08669806461108243,0.06153534645432546,5,random,0.14823341106540788
420,0.06636164450065796,0.08187176656474993,5,random,0.14823341106540788
436,0.06936502862014382,0.07886838244526406,5,random,0.14823341106540788
452,0.06178736874939417,0.08644604231601372,5,random,0.14823341106540788
468,0.08650662352688476,0.06172678753852312,5,random,0.14823341106540788
484,0.07661875364504056,0.07161465742036732,5,random,0.14823341106540788
500,0.09573544974414183,0.05249796132126605,5,random,0.14823341106540788
516,0.10678587805675921,0.041447533008648674,5,random,0.14823341106540788
532,0.10948921627733887,0.03874419478806901,5,random,0.14823341106540788
548,0.11505201364982487,0.033181397415583014,5,random,0.14823341106540788
564,0.12512654231274245,0.023106868752665433,5,random,0.14823341106540788
580,0.11375858014139884,0.03447483092400905,5,random,0.14823341106540788
596,0.1145826932923707,0.033650717773037186,5,random,0.14823341106540788
612,0.12505141930914254,0.02318199175626534,5,random,0.14823341106540788
628,0.10338086623800902,0.044852544827398866,5,random,0.14823341106540788
644,0.10772655007949139,0.04050686098591649,5,random,0.14823341106540788
660,0.10750867169965317,0.040724739365754714,5,random,0.14823341106540788
676,0.08885482115321086,0.05937858991219702,5,random,0.14823341106540788
692,0.09469411112974069,0.053539299935667195,5,random,0.14823341106540788
708,0.08905268876926875,0.05918072229613913,5,random,0.14823341106540788
724,0.08641483899215863,0.061818572073249256,5,random,0.14823341106540788
740,0.09239555344818517,0.05583785761722271,5,random,0.14823341106540788
756,0.09249436613202744,0.055739044933380444,5,random,0.14823341106540788
772,0.11102067002612914,0.03721274103927874,5,random,0.14823341106540788
788,0.12467764730842912,0.023555763756978765,5,random,0.14823341106540788
804,0.1232353554487714,0.024998055616636483,5,random,0.14823341106540788
820,0.1161710091776289,0.03206240188777898,5,random,0.14823341106540788
836,0.10944368131868132,0.038789729746726564,5,random,0.14823341106540788
852,0.11256376968297954,0.03566964138242834,5,random,0.14823341106540788
868,0.12065837661008905,0.027575034455318836,5,random,0.14823341106540788
884,0.12221436494287896,0.02601904612252892,5,random,0.14823341106540788
900,0.12138665932659531,0.02684675173881257,5,random,0.14823341106540788
916,0.12071498465143349,0.027518426413974395,5,random,0.14823341106540788
